Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-250.6853	62.311653	-202.71237	-372.67975	-688.7678	7.1084943	-676.5292	-697.30194	1000.0	1000.0	5000	2.4955268	3.506447	14.878436	-8.818081	-2.731676	0.5942625	17.30801272392273
2	-302.73602	58.171413	-216.20767	-374.66092	-545.47205	12.264293	-526.0685	-565.9498	1000.0	1000.0	10000	18.555317	14.341079	62.88962	-10.987326	-20.539732	1.5666424	34.45394849777222
3	-343.94287	197.09604	32.76412	-506.03198	-210.96606	81.46916	20.236908	-287.2134	1000.0	1000.0	15000	48.560547	13.006186	103.70332	3.837635	-50.33154	2.101046	51.08649778366089
4	-276.22385	83.33986	-199.70587	-432.89084	222.2656	394.79712	851.5267	-323.84073	1000.0	1000.0	20000	63.45967	17.203218	123.419334	16.57878	-64.858986	2.5305896	66.88981556892395
5	1504.375	703.7959	2634.3906	457.47458	1150.0779	1140.0183	3079.7021	-431.30682	1000.0	1000.0	25000	73.57361	24.72229	163.69974	30.682283	-74.86455	3.5968015	83.65004777908325
6	1281.695	1032.9694	2858.6	101.64652	2415.602	1162.4197	3291.6963	171.76534	1000.0	1000.0	30000	95.10065	41.42713	216.24426	38.96551	-96.661514	6.303428	100.57690262794495
7	2844.187	655.52893	3570.9023	1617.3611	2634.3323	1022.68524	3273.4404	461.80695	1000.0	1000.0	35000	122.758064	60.320774	259.14813	39.156136	-124.444176	9.821069	117.30570101737976
8	2023.3431	1163.811	3355.2458	505.86868	2455.811	1193.104	3705.8418	285.9073	1000.0	1000.0	40000	153.77335	74.725464	295.0914	42.86953	-155.51268	12.378186	133.78510427474976
9	1305.4061	1767.7802	3613.2717	-197.99419	1965.3617	1252.2323	3265.7136	-113.300385	1000.0	1000.0	45000	174.13672	87.21184	324.69388	43.351814	-175.8196	15.300144	150.5960693359375
10	2805.8628	870.4303	3987.678	1681.8783	3654.3445	427.71954	4206.476	2915.4373	1000.0	1000.0	50000	195.43794	97.35143	348.74634	43.1137	-197.14758	18.353596	167.0670154094696
