Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-292.15762	102.445366	-200.86757	-477.62393	-309.10895	5.743624	-300.87164	-321.41977	1000.0	1000.0	5000	7.1314535	6.7244787	39.04343	-5.589278	-8.376035	0.7264286	41.98735523223877
2	-248.53342	47.138477	-159.54227	-288.67264	-306.16705	48.506298	-223.09207	-405.06125	1000.0	1000.0	10000	48.880184	18.879492	97.81663	-0.30371994	-52.216812	2.6889675	85.6210105419159
3	-108.8206	233.05258	353.73904	-259.15784	-186.59325	59.670513	-33.026073	-258.2253	1000.0	1000.0	15000	108.82603	24.335596	216.08243	55.801285	-112.481186	3.7297852	134.91657757759094
4	-27.314205	183.69678	327.31885	-174.2985	28.111683	40.66753	75.805405	-34.774525	1000.0	1000.0	20000	155.87706	35.178932	258.00952	90.62354	-159.30305	4.1640687	185.00669169425964
5	1.725969	88.525276	126.994675	-96.88008	-14.010776	93.17819	217.0392	-135.85654	1000.0	1000.0	25000	185.1863	28.793474	273.8445	131.0729	-188.04921	4.0167713	233.76201272010803
6	345.2038	140.7456	529.111	98.23513	194.06558	272.52826	584.7727	-200.78624	1000.0	1000.0	30000	195.57959	23.421978	273.94827	150.54874	-197.66948	4.2601023	283.660817861557
7	127.90637	207.44789	502.723	-84.72562	173.39668	304.64813	657.7287	-225.95195	1000.0	1000.0	35000	194.68736	21.520205	270.49573	154.09554	-196.44554	4.49917	333.4262194633484
8	863.00525	530.47876	1400.7836	54.881065	1316.0369	102.78554	1508.3496	1105.084	1000.0	1000.0	40000	188.86421	20.316631	267.12604	149.08728	-190.49954	4.907407	383.392617225647
9	1436.763	190.76334	1691.2332	1185.685	1650.4213	115.52891	1839.9026	1511.0093	1000.0	1000.0	45000	189.99504	23.035063	263.49854	146.6181	-191.70074	5.477713	433.5572712421417
10	1540.9596	120.857124	1692.5665	1342.7346	1896.5891	91.9474	2066.621	1763.0774	1000.0	1000.0	50000	193.84286	26.125648	263.85583	146.84753	-195.44853	5.7709217	483.4565472602844
11	2149.104	139.3827	2346.1362	1914.7572	2551.6985	137.6553	2819.225	2332.3723	1000.0	1000.0	55000	198.57857	28.030224	272.26062	149.52641	-200.17757	6.013482	533.918787240982
12	2361.354	312.50473	2683.2642	1778.3186	2793.164	137.70358	2969.5234	2537.3965	1000.0	1000.0	60000	207.18823	30.582941	285.06198	150.23465	-208.89322	6.723982	584.8314023017883
13	2732.309	75.18996	2835.1265	2654.5422	2699.3	239.13338	3163.0764	2256.6433	1000.0	1000.0	65000	219.21872	33.411777	309.09833	153.00777	-220.95378	7.4751844	633.8752028942108
14	2943.678	211.84361	3197.444	2591.2068	2743.6636	1161.097	3430.9934	-596.82166	1000.0	1000.0	70000	232.34123	36.52127	322.48935	159.07843	-234.09946	8.686722	683.7152783870697
15	2435.5835	1096.8105	3356.435	278.5626	1290.3938	988.24084	2902.234	325.3602	1000.0	1000.0	75000	245.97325	39.108727	340.18295	167.83641	-247.71095	9.695182	733.671279668808
16	2903.793	531.0427	3468.1714	2033.6995	3250.9575	569.93964	3686.5137	1721.4321	1000.0	1000.0	80000	256.60425	45.008038	356.89224	164.72237	-258.26544	11.6007	782.98291015625
