Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-310.10522	55.331356	-242.5165	-375.7901	0.0	0.0	0.0	0.0	-538.4263	1.9649521	-534.5117	-541.157	1000.0	1000.0	5000	2.8480816	3.68502	22.143353	-7.523455	-4.094971	0.22118782	41.742823362350464
2	-251.89578	30.16487	-230.34544	-311.57086	0.0	0.0	0.0	0.0	-448.91754	33.567017	-411.10147	-499.16336	1000.0	1000.0	10000	21.702879	11.075866	52.58998	-5.0975127	-24.37026	1.0526918	85.11095857620239
3	-90.44916	12.168113	-69.6356	-101.979546	0.0	0.0	0.0	0.0	-467.28802	84.90568	-274.45084	-622.4672	1000.0	1000.0	15000	46.243877	18.308594	83.92552	6.6829524	-49.451996	0.95382637	184.45308589935303
4	-101.12797	0.7098526	-100.2065	-101.892296	0.0	0.0	0.0	0.0	-295.1018	71.98808	-208.3526	-434.01462	1000.0	1000.0	20000	83.45645	26.449125	138.86096	17.404411	-88.61791	1.3587432	291.2518377304077
5	-102.27748	1.1847512	-100.45679	-103.88576	0.0	0.0	0.0	0.0	-889.61053	130.21758	-636.45105	-1092.7062	1000.0	1000.0	25000	141.9678	39.98839	215.9235	39.224854	-149.97502	2.5485704	392.8972351551056
6	-100.51122	0.77753896	-99.32874	-101.43217	0.0	0.0	0.0	0.0	-871.40106	239.80482	-241.29742	-1168.6567	1000.0	1000.0	30000	215.19333	52.73088	301.76044	57.531723	-224.79214	4.1826973	492.7608506679535
7	-100.07478	1.0984969	-98.94072	-101.73441	0.0	0.0	0.0	0.0	-805.8815	122.21599	-568.5695	-942.7441	1000.0	1000.0	35000	300.4329	60.91146	400.9109	99.48164	-312.4975	5.85335	593.3110854625702
8	-99.361725	1.0556657	-98.02806	-100.63686	0.0	0.0	0.0	0.0	-893.2572	126.621216	-682.6523	-1075.7197	1000.0	1000.0	40000	408.59546	75.654976	540.7812	141.80788	-425.107	8.016211	691.8175232410431
9	-100.74496	0.93053424	-99.520164	-101.68734	0.0	0.0	0.0	0.0	-863.0293	263.54068	-368.2119	-1101.2886	1000.0	1000.0	45000	544.365	87.118034	680.8777	187.95337	-563.0613	9.798138	790.4988582134247
10	-100.00884	0.29686722	-99.5393	-100.417595	0.0	0.0	0.0	0.0	-650.26953	120.82782	-456.39456	-812.162	1000.0	1000.0	50000	681.8512	97.766	822.75433	247.69902	-701.7824	11.909364	892.6275918483734
11	-100.30367	0.7696843	-99.442535	-101.34021	0.0	0.0	0.0	0.0	-685.3766	173.15535	-457.85938	-871.9219	1000.0	1000.0	55000	807.2532	105.6658	955.149	289.61758	-826.6652	13.510397	993.3701314926147
