Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageEpUncertaintyClipped	StdEpUncertaintyClipped	MaxEpUncertaintyClipped	MinEpUncertaintyClipped	Time
21	5127.3765	250.78452	5415.339	4842.6655	6581.258	157.57497	6850.098	6337.0493	1000.0	1000.0	105000	472.75327	109.2717	618.61694	184.76344	-475.7197	18.546309	1462.9873	42.176838	1535.5682	1406.0623	1632.6018	39.68452	1701.4252	1578.5103	3606.9650750160217
22	5076.4126	374.05344	5631.7285	4650.4336	6816.2437	154.1597	7025.0513	6542.8423	1000.0	1000.0	110000	494.91782	108.05081	638.77203	203.36131	-497.9428	19.109497	1503.1025	46.792637	1559.8379	1442.0437	1668.9678	41.11916	1719.6925	1611.0388	3790.8380992412567
23	5394.997	155.1582	5599.877	5165.223	6590.339	224.90761	6980.669	6078.6772	1000.0	1000.0	115000	515.79553	106.88432	653.71826	227.65417	-518.85974	19.259106	1448.7478	49.621635	1501.1085	1370.9282	1622.8861	44.378487	1680.8779	1556.8927	3975.8772025108337
24	5247.784	255.51877	5632.642	4831.818	7083.237	116.11084	7292.827	6830.7095	1000.0	1000.0	120000	534.3839	107.44552	673.55725	241.91348	-537.3361	19.12582	1487.1935	31.606295	1527.0194	1437.3025	1661.6418	27.899277	1700.4045	1624.971	4160.14053106308
25	5561.5225	47.762623	5653.3076	5522.6406	7266.175	97.28174	7467.2314	7082.1265	1000.0	1000.0	125000	551.88007	107.064926	685.0916	259.53363	-555.085	19.225971	1409.4158	52.42144	1463.5148	1325.0247	1591.5609	46.27513	1636.9065	1516.412	4345.004304409027
26	5583.5244	114.82549	5767.661	5426.3716	7053.0454	157.20541	7321.2734	6747.467	1000.0	1000.0	130000	568.71826	105.38895	710.5931	266.50323	-571.7988	19.359314	1499.5057	84.91623	1613.2905	1367.1769	1664.7766	72.24847	1767.5875	1553.2582	4528.770467758179
27	5337.618	507.13757	5879.343	4403.2935	6791.1313	109.06538	6976.021	6630.101	1000.0	1000.0	135000	584.0941	103.981865	721.0772	277.55615	-587.1853	19.460243	1570.8389	66.47263	1695.8058	1516.1553	1731.8457	61.83476	1848.5842	1682.4047	4713.627498626709
28	5583.8125	121.26575	5711.6025	5434.2246	6797.1367	102.23743	6989.27	6588.402	1000.0	1000.0	140000	598.1121	104.2836	736.3391	289.89746	-601.3056	19.381834	1558.3197	26.082909	1603.2186	1534.8141	1714.3672	21.363392	1747.8073	1691.5745	4897.120581865311
29	4628.046	1663.5181	5867.213	1397.4052	7470.4062	155.90201	7697.0503	7218.4194	1000.0	1000.0	145000	610.0706	104.222725	746.43097	302.86002	-613.08386	19.874468	1714.1342	264.39886	2237.3513	1550.785	1868.1462	249.20862	2360.2356	1707.1504	5082.084208250046
30	5581.9062	95.86678	5717.4	5442.6304	6877.4053	570.94244	7551.5586	5864.8433	1000.0	1000.0	150000	621.0923	105.2896	755.12775	308.12067	-623.844	20.851273	1566.2565	27.188925	1599.3198	1537.8812	1724.4951	27.127567	1762.8547	1692.3317	5267.1806626319885
31	5364.9756	664.98157	6152.9653	4132.277	7631.975	132.1946	7846.359	7419.702	1000.0	1000.0	155000	631.6051	107.438034	764.95886	307.53326	-634.3759	21.423647	1631.6512	173.13855	1972.7637	1503.9235	1786.2582	160.50977	2102.9377	1666.2195	5450.481742143631
32	5701.658	169.60522	5803.6777	5363.6655	7307.178	257.83566	7641.1226	6772.0586	1000.0	1000.0	160000	641.86664	108.11214	772.3715	307.49545	-644.6052	21.827503	1572.553	52.526493	1650.8939	1494.8224	1729.8373	46.182056	1802.0985	1663.6443	5634.8398423194885
33	5659.435	190.70319	5946.07	5427.975	7501.15	292.5373	7791.6816	6702.9146	1000.0	1000.0	165000	651.9055	108.48252	780.9378	281.2075	-654.6932	22.076303	1562.8035	26.103739	1594.659	1525.5831	1717.2494	24.648565	1750.9272	1678.233	5819.786600112915
34	5613.5684	189.5489	5827.094	5285.6616	7995.751	78.671616	8084.5435	7829.259	1000.0	1000.0	170000	661.1049	109.07908	789.03156	301.57977	-663.8477	22.163206	1645.1891	38.72349	1680.1393	1573.4961	1784.1777	32.76701	1817.5249	1722.6238	6004.183769226074
35	5850.533	144.5593	6055.67	5657.2573	7191.048	374.54092	7577.5034	6139.7583	1000.0	1000.0	175000	670.1298	110.14668	796.5303	311.4992	-673.2576	21.97228	1627.0442	27.385662	1669.4717	1594.9291	1769.4202	22.920626	1806.2373	1743.3734	6188.591353416443
36	5836.8643	228.38364	6135.5015	5614.047	6985.8594	2296.0957	8380.25	215.15169	1000.0	1000.0	180000	679.1794	110.29949	820.803	302.62787	-682.0868	22.605602	1700.1404	28.232775	1756.2642	1681.012	1836.6117	22.923101	1882.3018	1823.6522	6373.0889544487
37	5802.1943	242.6926	6000.3677	5338.1846	6777.5273	2017.3634	8057.5386	1078.1123	1000.0	1000.0	185000	687.9539	110.32174	829.97577	310.64954	-690.8171	23.334078	1646.6013	75.15059	1756.7573	1554.5526	1788.5475	69.84932	1895.2079	1705.5219	6558.010545969009
38	5668.4424	487.13632	6159.009	4746.6855	7822.681	465.02167	8425.172	6843.162	1000.0	1000.0	190000	696.90204	109.971245	842.11536	312.88135	-700.064	24.224316	1716.0251	77.339584	1839.6892	1610.0062	1848.6324	71.73337	1964.3396	1752.0198	6741.713263273239
39	5996.419	213.38489	6264.098	5798.1357	8021.953	162.28026	8368.268	7776.4316	1000.0	1000.0	195000	705.97516	109.06903	845.2796	328.01492	-709.1746	24.365837	1755.1819	62.71477	1818.1597	1643.2063	1879.6973	51.493603	1929.0435	1787.3173	6926.044000387192
40	5626.785	322.9575	6109.718	5253.59	8024.5796	219.81744	8215.73	7453.8813	1000.0	1000.0	200000	714.83154	107.97713	856.80585	303.83936	-718.1179	24.75427	1743.027	41.996857	1798.078	1694.5117	1869.0101	36.50821	1917.074	1824.0647	7111.2113535404205
41	5651.1284	421.39444	6037.4243	4837.9014	7911.699	469.6216	8252.17	6545.217	1000.0	1000.0	205000	722.4845	107.29501	862.0702	341.35074	-725.59	25.5567	1757.4252	69.69162	1892.6138	1701.7281	1886.595	64.44283	2011.1128	1833.5135	7295.882175445557
42	5416.7744	450.94104	5946.8364	4806.4805	7867.5415	284.32642	8239.25	7310.71	1000.0	1000.0	210000	730.01874	106.86963	867.48615	361.65424	-733.2825	26.079838	1761.2805	22.311869	1789.588	1738.2441	1889.5964	24.655188	1922.1971	1859.7972	7480.035607337952
43	5589.769	386.76337	5903.6367	4843.068	8311.037	174.51187	8560.257	8052.5527	1000.0	1000.0	215000	737.3352	106.56806	873.5329	341.48157	-740.173	26.271082	1760.3131	60.100697	1863.8606	1678.2089	1889.2448	52.866722	1983.617	1821.7107	7664.312317609787
44	5973.458	147.43614	6216.1006	5822.1543	8188.7646	99.8057	8342.448	8019.649	1000.0	1000.0	220000	744.03015	106.17663	881.6536	359.3652	-746.95355	27.102016	1732.6921	61.25065	1834.9879	1667.4489	1858.6956	54.46237	1947.789	1795.6835	7848.596088886261
45	5771.723	206.11029	6028.8315	5418.447	8508.571	151.3015	8767.743	8307.031	1000.0	1000.0	225000	750.8583	104.89654	883.94244	361.0309	-753.8761	26.947306	1800.8516	49.66526	1889.6405	1744.7429	1923.1276	45.285988	2002.607	1869.2646	8032.64185667038
46	5982.945	194.80362	6324.0356	5745.4834	7893.3853	240.28056	8402.38	7420.525	1000.0	1000.0	230000	756.9692	103.232605	890.58167	371.2494	-760.0324	26.270378	1769.5277	50.815178	1821.9354	1696.3522	1892.5251	47.365166	1937.2896	1824.5686	8217.315521478653
