Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-300.47766	103.162895	-221.70827	-479.51175	-625.72095	50.125786	-587.58624	-748.21405	1000.0	1000.0	5000	0.5956748	2.567558	14.764572	-11.201897	0.5956812	2.5695777	14.731764	-10.589114	-1.6964662	0.45095703	47.1215660572052
2	-273.2067	50.569855	-216.1988	-364.56235	-531.34717	43.57287	-467.35883	-633.14154	1000.0	1000.0	10000	8.332582	5.1132116	29.69566	-9.874949	8.332647	5.1148667	29.400633	-9.828358	-10.383752	1.1397874	91.98531913757324
3	-368.5209	389.30316	404.36072	-624.12445	-362.0394	278.21432	180.32	-686.7348	1000.0	1000.0	15000	14.680758	8.967416	49.631283	-7.5833645	14.681879	8.967744	49.58289	-7.268281	-16.376347	2.4462457	140.03009915351868
4	-33.385704	569.9228	670.0005	-737.0419	468.6852	681.0832	1890.8007	-313.61493	1000.0	1000.0	20000	16.110685	14.397375	70.021355	-11.64812	16.11121	14.397689	69.92022	-13.134168	-17.541409	2.5887272	187.58084797859192
5	2180.1882	185.59135	2420.1892	1929.5933	2562.3745	754.0322	2942.9053	316.5901	1000.0	1000.0	25000	26.843363	23.505701	97.034874	-13.761122	26.844244	23.505857	98.525505	-13.020345	-28.789263	4.127421	232.69285106658936
6	2909.2134	218.41818	3149.6719	2504.4592	3031.7134	1028.3777	3483.4927	-43.666893	1000.0	1000.0	30000	46.682938	32.830284	123.21714	-12.443063	46.683468	32.82982	123.550674	-11.814579	-48.962563	5.7105055	278.67797112464905
7	3287.3992	170.55022	3571.9446	3044.9429	3546.4048	92.92887	3712.8352	3363.124	1000.0	1000.0	35000	70.30527	40.471737	153.07507	-8.708488	70.30522	40.471485	153.32614	-9.60352	-72.83495	7.333757	323.8253049850464
8	2584.9368	1356.725	3766.6519	295.66214	3812.1895	212.02759	3968.1804	3199.714	1000.0	1000.0	40000	90.5088	48.94326	183.04639	-6.7627645	90.509384	48.942436	182.48024	-3.9370751	-92.86717	9.445295	367.32053399086
9	3777.271	138.02606	3981.9177	3591.4023	3659.5933	896.27704	4066.315	989.0401	1000.0	1000.0	45000	110.894325	58.228832	205.67863	-10.363111	110.89488	58.227127	206.11282	-10.661998	-113.03391	11.81291	413.82207918167114
10	3401.6333	869.49365	4074.3694	1683.5164	3287.0496	1626.6893	4678.1353	371.1728	1000.0	1000.0	50000	131.32773	66.18928	236.2457	-23.551826	131.3285	66.18783	241.73724	-23.80612	-133.8048	14.466527	463.1169340610504
11	2831.466	1327.9388	4422.572	520.417	3551.0403	1324.6846	4456.026	278.03232	1000.0	1000.0	55000	147.11188	75.76633	258.77603	-33.017517	147.11174	75.76422	257.08734	-32.832863	-149.47118	20.25629	511.68784499168396
12	4398.212	79.307465	4462.7686	4243.245	4497.667	33.301838	4553.07	4453.1147	1000.0	1000.0	60000	164.77635	83.89119	272.90668	-33.09224	164.77686	83.88973	275.69006	-32.226067	-167.13237	21.62375	560.1789500713348
13	4595.1777	208.04373	4979.166	4393.0977	4617.7603	57.87808	4724.2925	4489.603	1000.0	1000.0	65000	183.7016	89.43311	298.85355	-35.5097	183.70177	89.431076	299.85504	-31.784792	-186.1701	21.199553	607.3758041858673
14	4692.6533	136.60265	4853.4443	4504.5815	2248.2014	1704.1565	4307.473	-282.93887	1000.0	1000.0	70000	202.78899	93.6859	319.21738	-29.750446	202.78946	93.685104	320.11172	-31.007627	-205.55287	23.385096	653.9322590827942
15	4133.0767	1321.9304	4898.5757	1495.2046	5500.601	78.05056	5608.551	5397.1143	1000.0	1000.0	75000	218.22252	99.47167	341.83203	-36.928658	218.22252	99.47006	338.0991	-39.945812	-220.65546	27.721605	702.5277049541473
16	4955.933	228.94453	5280.2812	4618.818	5495.977	54.046608	5590.534	5400.802	1000.0	1000.0	80000	235.22253	103.473915	354.16254	-37.446964	235.22307	103.47194	354.60294	-36.155045	-237.87955	29.233725	752.8101391792297
17	5080.181	127.84105	5211.061	4856.8223	5321.747	92.718315	5505.9507	5210.2417	1000.0	1000.0	85000	251.97171	106.115486	370.05728	-45.61264	251.97209	106.11412	372.88495	-46.661102	-254.75485	31.692356	803.4216139316559
18	4861.6655	339.17056	5147.737	4273.623	5424.661	50.005657	5492.7705	5338.3945	1000.0	1000.0	90000	267.61325	107.65153	382.65598	-54.018166	267.6135	107.65045	383.3739	-54.19114	-270.1738	32.590076	853.3768439292908
19	5135.0615	235.37375	5525.7515	4884.6426	5646.6436	124.83294	5797.1577	5420.9614	1000.0	1000.0	95000	282.16174	109.06201	392.74515	-50.238503	282.16223	109.06078	394.2588	-37.991455	-284.71216	31.691788	902.5855131149292
20	5223.377	169.00644	5461.4395	5022.375	5318.3447	144.63528	5499.0903	4956.405	1000.0	1000.0	100000	295.89197	110.54193	404.93942	-32.66927	295.89236	110.54099	406.10205	-39.065453	-298.33435	32.45194	952.2033240795135
21	5054.322	291.6951	5331.6016	4535.0645	4927.6064	49.05479	4994.301	4841.4067	1000.0	1000.0	105000	308.50183	111.52427	415.53552	-56.002625	308.50214	111.52459	415.38626	-46.3077	-311.22586	31.473372	1002.6391451358795
