Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpVarUncertainty	StdEpVarUncertainty	MaxEpVarUncertainty	MinEpVarUncertainty	AverageEpVarUncertaintyClipped	StdEpVarUncertaintyClipped	MaxEpVarUncertaintyClipped	MinEpVarUncertaintyClipped	AverageEpStdUncertainty	StdEpStdUncertainty	MaxEpStdUncertainty	MinEpStdUncertainty	AverageEpStdUncertaintyClipped	StdEpStdUncertaintyClipped	MaxEpStdUncertaintyClipped	MinEpStdUncertaintyClipped	Time
16	2895.845	1569.4307	3849.7847	-231.44933	4999.65	97.94252	5152.7944	4868.869	1000.0	1000.0	80000	304.71747	89.15184	425.14917	75.787674	-306.89844	10.643875	246.63431	89.13999	424.58197	193.64748	292.76624	79.14383	450.8326	246.61006	358.94754	95.68538	549.6349	298.9105	397.30902	87.383354	571.5694	343.7291	1900.149700641632
17	3892.588	170.13918	4158.699	3675.5144	4453.8115	1748.9365	5068.061	-792.00934	1000.0	1000.0	85000	322.9594	95.70723	439.3048	79.72249	-325.00095	11.485079	184.31201	5.5124383	193.98322	178.10414	238.85	5.0070972	247.56714	232.7904	287.01883	6.0254683	297.0079	279.54904	332.9492	5.9332685	343.06213	326.4405	2029.0390055179596
18	3897.2625	130.54173	4069.1743	3697.1458	5314.438	113.010765	5438.602	5118.069	1000.0	1000.0	90000	342.4815	99.0096	464.8316	83.04202	-344.8984	11.817319	188.734	9.862808	201.3187	173.33487	241.54912	7.856364	250.63455	228.90834	295.8172	14.262357	316.94086	275.21588	339.56497	11.914985	356.2284	321.57306	2157.978307723999
19	3660.8013	808.1969	4218.249	2063.7542	5202.7515	91.669014	5301.8423	4960.006	1000.0	1000.0	95000	360.27267	102.33326	486.3183	84.74451	-362.8183	12.222361	208.85657	37.042137	282.2815	181.29793	258.1471	32.627857	322.8399	233.87334	321.7984	41.033195	403.00882	291.00232	362.0555	37.616425	436.5419	333.86414	2285.950557231903
20	3987.8223	233.9201	4258.9526	3598.1448	5059.501	77.68491	5169.0054	4913.465	1000.0	1000.0	100000	376.6281	106.44098	503.31436	89.80297	-378.8342	12.592193	199.93161	6.7578626	209.80576	189.4022	250.02002	5.711102	258.49652	241.68387	312.9013	8.570235	324.46756	297.92288	353.7959	7.331095	363.94476	341.44125	2414.182388305664
21	4124.939	200.04568	4367.653	3888.0215	5305.214	90.96935	5432.525	5201.5576	1000.0	1000.0	105000	391.9278	109.75881	513.56793	76.38756	-394.16403	12.971697	202.35864	7.9514003	215.75671	192.67522	250.96887	6.6816945	262.52356	243.86938	319.7392	10.528468	335.70358	303.87262	358.26773	9.07735	372.47125	345.23544	2542.39311671257
22	4027.8293	221.32109	4344.3984	3669.0486	5484.6553	105.08225	5636.982	5319.605	1000.0	1000.0	110000	406.05743	112.91373	525.81256	92.359604	-408.08414	13.166787	206.10623	17.249186	237.79799	189.54437	254.71524	14.702905	281.7742	240.43109	322.22784	20.554394	359.59418	302.2356	360.89566	18.394905	394.53348	343.55914	2669.093652009964
23	4202.927	211.41574	4422.164	3827.6897	5377.7695	84.60393	5468.2817	5179.7993	1000.0	1000.0	115000	419.6932	114.63323	547.8294	85.75781	-421.9545	13.867106	202.95169	10.905446	221.82706	193.29333	251.5225	9.216763	267.37274	242.5903	320.11786	13.73188	343.5629	305.9549	358.65497	12.195517	379.7458	346.99814	2795.9125740528107
24	4374.785	130.76242	4534.8413	4145.465	5433.34	114.4848	5576.372	5205.929	1000.0	1000.0	120000	432.13596	115.767944	561.1229	88.48116	-434.2755	14.27041	202.89389	8.8893175	214.09724	190.09816	251.49606	7.7102804	261.39493	239.98375	319.85272	10.165036	331.9154	306.7117	358.4536	9.280234	369.4068	345.63144	2924.0841574668884
25	4303.1763	111.23987	4415.5166	4135.9204	4896.4307	459.13193	5459.2456	3883.4368	1000.0	1000.0	125000	444.4885	115.7784	570.01013	83.185646	-446.905	14.181694	215.96948	10.147471	227.79323	199.53145	262.46777	8.725156	272.02985	248.00217	336.46622	12.905793	352.7492	318.00558	372.79147	11.082336	386.55582	355.97702	3052.8090329170227
26	3760.9429	903.6566	4497.5386	1986.0526	5198.8267	592.3798	5585.7036	3597.588	1000.0	1000.0	130000	455.20663	115.376526	577.2697	93.62574	-457.2916	14.008458	230.99222	38.57428	305.3224	202.23367	277.51605	35.130375	345.31934	251.55443	346.96185	38.16807	420.01132	317.8406	384.00598	36.166393	453.30835	356.47345	3179.143246412277
27	3670.2085	1291.6722	4501.342	1095.7291	5432.7144	143.56079	5621.997	5127.11	1000.0	1000.0	135000	463.3802	115.45706	584.8232	78.33279	-465.6536	15.071925	233.07878	47.008816	325.6092	196.37921	279.7279	43.086178	364.74426	247.25497	347.76013	45.425255	436.2677	308.21762	385.46896	43.89299	471.34424	348.72964	3306.3718042373657
28	4193.6704	357.85083	4478.5894	3496.5898	5649.039	75.386505	5769.374	5509.974	1000.0	1000.0	140000	471.63214	113.780106	590.93494	107.68506	-473.8226	15.963066	211.72427	14.819767	234.31648	195.19794	260.3727	12.904859	280.91785	245.98636	326.30798	17.08023	348.77057	307.18716	364.63495	15.361943	385.58344	347.42108	3435.1360878944397
29	4099.7783	594.722	4596.105	2963.3518	5862.714	138.08293	6089.365	5651.8076	1000.0	1000.0	145000	479.9928	112.25504	599.3354	94.47427	-482.5105	16.752768	219.31238	32.96346	284.47083	194.63351	267.40826	28.421223	323.55536	246.13986	333.65317	38.332928	409.47992	304.70065	371.8285	34.26254	439.61777	346.17758	3563.070752620697
30	4455.9106	169.921	4722.64	4260.547	5408.4927	263.15186	5707.7817	4916.267	1000.0	1000.0	150000	489.23672	109.94299	604.5181	133.60196	-491.1448	16.504004	204.84627	16.211912	235.89735	191.77132	253.49576	13.0459175	278.3744	242.19919	321.46368	22.243034	363.93457	300.64755	359.36874	19.045732	395.64124	341.68195	3692.139355659485
31	4511.115	171.52176	4820.8975	4344.0195	5688.9287	379.38583	6023.8975	4694.9404	1000.0	1000.0	155000	497.76276	106.999916	609.76917	132.13306	-500.00745	16.82544	199.9956	7.795417	210.54762	187.6561	249.17041	6.1644135	258.14346	240.58368	317.00058	11.6878	330.02264	295.71338	354.53656	9.737823	365.91968	337.1643	3820.5610473155975
32	4639.668	113.74105	4807.1772	4460.2515	5918.0938	112.97688	6095.424	5722.174	1000.0	1000.0	160000	507.75058	99.284615	614.99713	172.4509	-510.0296	17.25149	207.69412	6.04465	214.51546	196.62692	255.1019	5.4442406	260.39612	244.73048	328.44754	7.102271	339.11243	318.39917	363.9874	6.2280445	372.1966	353.86276	3949.671326160431
33	4544.1143	154.1139	4820.329	4366.366	5556.952	338.19147	5949.341	4834.2764	1000.0	1000.0	165000	516.5271	92.52395	618.98724	179.24655	-518.9685	16.867365	211.79416	5.7340627	221.8482	204.46178	259.858	4.323404	267.81613	255.02025	328.90997	9.325106	343.13815	315.14758	365.80743	7.6922874	378.5859	355.20273	4077.754855632782
34	4444.8076	107.331055	4629.201	4303.672	5701.45	146.8558	5935.937	5439.3135	1000.0	1000.0	170000	524.96027	87.16166	625.94037	173.3708	-527.3253	16.152962	209.2559	5.591207	216.23796	200.2954	258.20184	4.8614416	264.84738	251.12984	323.94302	6.7032695	330.6168	311.62177	362.05887	6.0777154	368.712	351.28882	4205.523914575577
35	4413.4346	110.21371	4587.085	4255.16	5810.258	130.30286	5954.2876	5542.6606	1000.0	1000.0	175000	531.74615	84.08268	634.3703	170.27176	-534.1025	16.09037	216.03299	13.45669	239.81413	201.78302	263.65607	11.43676	283.94598	251.604	333.3436	16.062447	361.41574	316.35123	369.92957	14.486164	395.23395	354.65244	4333.503241062164
36	4569.655	263.8758	4982.161	4284.361	5817.8887	237.34563	6117.222	5211.1777	1000.0	1000.0	180000	538.48694	80.32917	640.16315	169.94385	-540.6305	15.898619	207.02942	11.492307	224.9426	193.81223	255.9716	10.048774	271.18762	244.01308	322.59506	13.282028	344.37354	309.26987	360.04642	12.099021	379.4518	347.13434	4462.270857095718
37	4636.3916	166.96342	4909.379	4423.3315	6078.0654	107.09472	6204.966	5869.909	1000.0	1000.0	185000	543.91626	79.43483	643.08856	190.3502	-546.0163	15.379984	207.22293	6.3248286	217.27585	199.2404	256.39435	5.4504056	265.4821	250.16063	321.73495	8.246324	332.25046	310.86902	359.77863	7.0088677	369.3401	350.11584	4589.861630678177
38	4638.147	163.55101	4895.4653	4460.8267	5830.642	344.25153	6161.3213	4919.072	1000.0	1000.0	190000	549.3439	78.44122	646.73456	195.47958	-551.5939	14.809044	217.28731	10.3142605	230.21815	205.7981	264.591	8.7404995	275.19263	255.134	334.90244	12.570359	351.45157	319.94476	371.06262	10.845389	385.29764	358.17212	4718.377889871597
39	4552.66	247.85574	4777.9297	4163.022	5739.6396	417.94568	6340.102	5112.338	1000.0	1000.0	195000	553.18756	80.29841	651.47125	215.56377	-555.3266	14.870421	218.72371	12.4213085	232.99069	199.23248	266.32425	10.919643	278.42078	249.25198	334.75092	14.112702	352.4949	312.76373	371.64862	12.5601635	386.7416	351.78226	4847.148995637894
40	4592.6494	305.35226	4895.9277	4101.9277	5768.8735	252.60344	6195.689	5294.933	1000.0	1000.0	200000	558.52246	78.02727	654.5893	226.01462	-560.8498	15.710776	217.36316	17.266468	238.24806	191.49184	264.77466	14.777645	282.35825	242.75845	334.6842	20.626457	360.3101	302.99164	370.84796	18.61561	394.18497	342.8005	4974.302409172058
41	4861.723	93.82896	4949.032	4683.9497	6204.931	138.51999	6431.1104	5961.8794	1000.0	1000.0	205000	565.0621	72.25755	659.2412	259.05576	-567.52686	15.738815	214.87097	4.283677	218.29945	206.84294	262.10086	3.4027948	265.34525	256.09216	333.36176	6.1835995	337.7964	321.13947	369.0843	5.135896	372.73404	358.9635	5102.331411600113
