Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-217.94083	81.04098	-111.86841	-313.06293	-521.67505	0.8957848	-520.43524	-522.9595	1000.0	1000.0	5000	1.1121167	3.124686	18.12891	-10.381576	1.1118294	3.125264	18.155388	-10.097431	-2.170878	0.52585554	43.56981110572815
2	-282.8664	104.72413	-111.92162	-403.16254	-237.79178	29.52974	-187.99641	-280.08582	1000.0	1000.0	10000	14.468202	12.752504	52.711266	-9.24823	14.467334	12.75164	53.427788	-8.598694	-17.865513	2.2640948	84.99645614624023
3	-196.30493	123.55	-32.31372	-338.09885	-266.88702	17.598562	-240.18112	-299.27466	1000.0	1000.0	15000	31.017035	15.172905	64.40684	-3.896535	31.017632	15.172839	63.511326	-3.5595198	-33.06562	4.10489	126.80862212181091
4	-203.63379	235.17395	161.05446	-572.8382	-370.95212	146.10464	-68.249176	-550.5876	1000.0	1000.0	20000	34.389175	15.007033	61.919918	-1.0296326	34.389824	15.006721	61.855618	-0.64682645	-35.772694	2.9089358	169.1377739906311
5	332.74976	578.269	1211.6764	-359.4811	302.92212	582.7079	1057.1329	-602.70197	1000.0	1000.0	25000	34.374046	17.514732	81.78389	-1.16831	34.37455	17.514917	82.4902	-1.1929767	-35.94133	2.8765774	214.40377593040466
6	1151.6156	476.1645	1591.2782	256.44543	1770.7533	834.4803	2296.8716	-487.58914	1000.0	1000.0	30000	39.862206	21.920181	101.317116	-4.28103	39.862675	21.921736	101.91942	-3.7957478	-41.322826	4.3164115	258.10218596458435
7	2253.2551	603.24384	2913.943	1178.0435	2811.2454	454.04657	3176.317	1589.3953	1000.0	1000.0	35000	50.544632	28.42877	126.39234	-4.165328	50.545128	28.43017	127.364075	-3.90419	-52.443882	6.0722046	304.4084961414337
8	2916.0774	513.8374	3309.0627	1924.8514	3309.093	926.8246	4005.9763	679.30994	1000.0	1000.0	40000	67.07284	38.081333	162.16885	-5.3665414	67.07335	38.083134	161.8973	-4.7717886	-69.48034	8.609466	353.7695960998535
9	3616.3594	130.04225	3824.4417	3419.895	3244.0474	1450.405	4080.16	-32.29897	1000.0	1000.0	45000	86.63001	48.147892	192.94374	-6.223378	86.63006	48.14896	196.31615	-5.7953105	-89.11683	12.051708	397.7968842983246
10	3352.1626	1372.9138	4146.4316	608.833	4070.7078	54.679806	4179.3857	3983.0981	1000.0	1000.0	50000	106.319534	58.1793	222.35115	-13.413223	106.31957	58.18065	222.86577	-11.444583	-109.10963	15.395393	441.75608801841736
