Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-315.96536	121.62287	-181.9367	-506.87585	-348.83698	0.9815829	-347.67648	-350.38068	1000.0	1000.0	5000	4.366143	6.557141	39.362232	-8.777355	-5.265533	0.55785567	69.5159261226654
2	-281.8257	51.66999	-228.87267	-380.4576	-341.15005	5.0092053	-332.63235	-348.7366	1000.0	1000.0	10000	40.14078	23.61307	107.743454	-6.3254833	-43.27168	1.7344631	139.05913972854614
3	-216.12195	334.5601	366.89267	-669.25085	-50.426643	81.77519	70.730835	-169.19	1000.0	1000.0	15000	80.30804	17.92835	128.89299	32.551758	-81.921234	1.9588265	218.4284200668335
4	102.50276	302.93817	557.7643	-273.35956	-171.96036	48.444233	-90.99411	-261.70175	1000.0	1000.0	20000	96.41933	30.701063	179.52408	37.681107	-98.43508	2.8242886	297.3740346431732
5	-102.373825	150.56433	180.41113	-249.74684	517.64734	466.58453	1223.9857	-231.83502	1000.0	1000.0	25000	110.148285	36.737858	202.35812	45.96518	-111.92191	3.2584145	376.55782747268677
6	1352.9583	427.361	2122.8726	861.1343	526.93524	886.0928	2660.5337	-256.98212	1000.0	1000.0	30000	121.26562	37.787243	229.30368	52.136356	-122.86825	4.0852375	455.6889588832855
7	113.893166	265.94412	463.00827	-201.85007	1321.331	869.759	2449.4058	-176.33492	1000.0	1000.0	35000	132.09853	41.760525	254.48854	21.36836	-133.84059	5.87405	535.358325958252
8	2016.4705	657.37665	2591.729	745.8796	1939.9329	653.66705	2615.6938	1003.79144	1000.0	1000.0	40000	147.80891	48.70819	283.3238	33.95686	-149.55647	7.5224853	614.6603715419769
9	2841.8142	328.13507	3283.079	2353.2283	2769.5632	1023.9928	3418.4263	-5.9466257	1000.0	1000.0	45000	169.33934	57.343967	314.75266	50.32403	-171.20987	9.676484	694.4033250808716
10	2575.8374	1061.519	3254.5735	458.92377	2287.7786	1389.2181	3589.0015	324.57645	1000.0	1000.0	50000	196.26727	65.33108	339.29904	60.756557	-198.29169	11.21788	774.131144285202
11	3420.4375	183.1488	3686.7158	3155.8801	3759.903	135.48335	3967.2253	3571.4937	1000.0	1000.0	55000	223.98622	71.39733	368.96307	71.26009	-226.0887	12.535735	853.8070702552795
12	3543.9954	229.6441	3816.9026	3211.041	4012.8374	101.22691	4186.2837	3898.42	1000.0	1000.0	60000	251.43523	74.49919	385.31522	87.13016	-253.53008	13.2405405	933.1435744762421
13	3453.2964	594.4391	3933.479	2318.2126	4170.1343	114.321724	4273.204	3958.1492	1000.0	1000.0	65000	275.8206	75.907295	403.82925	108.98216	-277.92572	13.75178	1012.610011100769
14	3797.3464	706.26935	4299.325	2405.032	4239.5195	81.975296	4318.028	4050.2688	1000.0	1000.0	70000	299.79745	78.18691	423.5379	133.45401	-301.8958	13.635745	1092.3076131343842
15	4036.9934	65.939285	4119.2007	3959.7656	4083.7	90.18018	4230.2925	3937.647	1000.0	1000.0	75000	320.7194	80.88464	441.75998	131.36829	-322.77966	14.276291	1171.8162758350372
16	3804.233	232.32426	4089.6873	3459.3015	3401.0	693.9876	3911.205	1581.9578	1000.0	1000.0	80000	340.0636	82.87896	455.24902	135.2066	-342.0961	14.443911	1251.711552143097
17	3824.6235	179.48868	4040.0547	3618.4187	3758.8618	175.24838	3939.9783	3283.8984	1000.0	1000.0	85000	356.71143	83.72253	470.23697	146.35947	-358.69946	14.812561	1331.2588353157043
18	3188.772	1389.9513	4060.6514	452.65207	3020.4473	1145.5354	3919.3972	825.6269	1000.0	1000.0	90000	370.0874	84.213196	478.30832	165.70053	-372.03085	15.563151	1411.4739308357239
19	3916.8223	189.97705	4157.353	3681.4006	3661.261	536.90186	4047.0842	2116.009	1000.0	1000.0	95000	380.32553	85.10211	484.82022	177.00844	-382.1985	15.854152	1490.5990748405457
20	3948.733	119.14181	4042.2427	3717.8743	3398.5093	790.81824	3973.5928	1545.0153	1000.0	1000.0	100000	389.44812	85.2032	491.23175	182.06595	-391.27588	15.177281	1570.099648475647
21	4041.565	171.13432	4323.4644	3841.7964	3768.214	246.6935	3953.2869	3089.2463	1000.0	1000.0	105000	398.09866	84.78478	493.8826	185.28326	-399.91232	14.834579	1649.4249737262726
22	3532.6985	733.72955	4038.612	2093.029	4032.5366	89.87133	4208.1445	3887.9612	1000.0	1000.0	110000	405.08237	84.549774	497.82312	191.07346	-406.8524	14.706346	1728.8822040557861
23	3305.897	861.03156	4288.5317	1889.8323	3904.142	160.60904	4144.7036	3625.1316	1000.0	1000.0	115000	409.5421	84.786285	501.04807	192.88258	-411.24402	15.466051	1808.0310637950897
24	3918.1196	491.27084	4295.6587	2957.739	3567.161	281.88046	3945.3652	3009.4358	1000.0	1000.0	120000	413.58438	85.17482	502.4381	197.8239	-415.24344	15.6620655	1887.3180568218231
25	3353.0933	803.75507	4116.8467	1934.6526	3181.728	757.28217	3863.613	1593.8162	1000.0	1000.0	125000	416.74753	86.319305	506.58817	194.63011	-418.39407	15.889827	1966.8236491680145
26	4064.2349	95.00624	4164.7417	3944.794	4107.9385	58.019173	4252.6885	4036.646	1000.0	1000.0	130000	420.13965	86.72507	509.7431	192.67183	-421.74744	15.831761	2045.9704942703247
27	4024.0562	192.38396	4272.3413	3848.7505	3770.2024	879.9577	4191.6807	1147.6707	1000.0	1000.0	135000	423.43127	86.60329	511.49512	190.39839	-425.0211	15.840948	2125.834486722946
28	3921.9546	329.84204	4189.92	3306.9739	4113.3896	189.72163	4354.1616	3753.4724	1000.0	1000.0	140000	426.0639	86.26042	512.53644	189.68886	-427.6064	15.261306	2205.222494840622
29	3751.4993	548.36505	4237.5674	2726.027	4118.0474	357.66785	4358.416	3078.724	1000.0	1000.0	145000	428.0924	86.413864	514.47986	186.65524	-429.62125	15.097067	2284.177976846695
30	3673.5483	923.7515	4215.379	1829.9775	3890.3296	333.32013	4212.651	2969.3064	1000.0	1000.0	150000	430.17676	86.64528	516.0468	176.94798	-431.6918	15.1355295	2363.9781789779663
31	4231.1064	155.48805	4432.1416	4018.0322	3848.3132	426.46704	4295.0054	2626.7256	1000.0	1000.0	155000	432.51886	87.05421	518.51385	162.01443	-433.9902	14.764837	2444.0056507587433
32	3985.3308	258.68927	4280.8584	3543.8108	3735.9185	239.02351	4137.877	3365.9758	1000.0	1000.0	160000	434.53268	87.30898	519.61395	157.4953	-435.9797	14.947233	2523.1847455501556
33	3187.4539	1149.1758	4206.1313	1445.5219	4258.4526	141.20251	4421.9883	3905.7454	1000.0	1000.0	165000	435.26984	88.10239	520.7124	149.9901	-436.69955	15.02716	2602.990265607834
34	4204.009	239.30292	4448.52	3748.3484	3838.9739	198.54337	4071.7983	3448.8616	1000.0	1000.0	170000	436.5817	88.65907	522.88995	137.15245	-438.00314	15.224688	2682.7585694789886
35	3830.3691	305.22485	4242.238	3435.061	3796.0938	894.1125	4457.07	1250.4447	1000.0	1000.0	175000	437.9831	88.424355	523.50024	133.46724	-439.3866	15.192983	2761.9805743694305
36	4254.796	223.48041	4477.546	3854.6565	4304.5957	75.91886	4399.422	4121.8345	1000.0	1000.0	180000	440.0333	87.73096	522.77716	132.59744	-441.4415	14.989606	2840.9157037734985
37	3904.4094	451.18344	4364.687	3098.4822	4157.209	188.07341	4344.299	3768.2043	1000.0	1000.0	185000	442.14166	87.20421	523.84564	133.20401	-443.54666	14.756537	2920.133980512619
38	4366.1865	127.93047	4538.4746	4160.0864	4452.574	91.863655	4589.1187	4318.256	1000.0	1000.0	190000	444.49237	86.43075	525.05194	135.24205	-445.89114	14.367322	2999.230274438858
39	4240.0938	164.16753	4435.805	4029.1218	3930.5554	520.26337	4424.5947	2463.317	1000.0	1000.0	195000	446.94937	86.11317	526.2778	138.9747	-448.35794	14.035237	3078.6470239162445
40	4207.8945	171.74329	4507.6504	3975.929	4702.3154	58.30624	4776.047	4587.748	1000.0	1000.0	200000	449.7596	85.45739	528.5837	131.2396	-451.1632	13.800429	3158.169822692871
41	4263.964	160.15056	4448.5703	3998.8638	3887.5483	930.3927	4451.3506	1132.0507	1000.0	1000.0	205000	452.86563	84.08788	529.74646	134.0587	-454.26974	13.432688	3237.786925792694
42	3321.1614	1660.895	4439.055	66.67835	4871.674	45.078293	4985.143	4821.2637	1000.0	1000.0	210000	454.99265	83.10608	531.7008	146.5556	-456.39185	13.216873	3316.8042180538177
43	4245.1616	438.18527	4670.008	3596.4067	4300.276	123.6824	4568.442	4107.323	1000.0	1000.0	215000	456.7828	83.12274	533.65393	150.95093	-458.18225	13.468946	3395.540342092514
44	4273.974	222.34404	4503.0312	3860.7556	3841.8718	1109.5012	4390.169	534.1362	1000.0	1000.0	220000	459.0223	82.36109	534.6626	157.50467	-460.4068	13.175508	3474.9851620197296
45	4101.8057	827.33276	4657.7617	2465.2515	5009.712	92.27108	5179.7417	4855.1094	1000.0	1000.0	225000	460.77002	82.19626	535.91815	160.55284	-462.1498	13.058703	3554.2983345985413
46	4551.0063	192.663	4790.739	4284.0825	4386.321	176.57115	4704.052	4135.784	1000.0	1000.0	230000	462.46622	82.18697	539.5152	159.9203	-463.8271	12.708358	3633.6421949863434
47	4538.654	108.97681	4692.7905	4365.7217	4974.4126	116.49361	5140.729	4778.1484	1000.0	1000.0	235000	464.33722	81.78923	538.5869	161.93448	-465.6929	12.766278	3712.66463637352
48	4532.38	167.00952	4811.606	4345.5073	4569.655	73.61339	4656.208	4412.284	1000.0	1000.0	240000	466.50586	81.78997	539.7314	153.28815	-467.87045	12.78557	3792.2326233386993
49	4663.0596	136.76656	4924.4355	4539.825	4546.3525	179.99292	4722.5776	4130.181	1000.0	1000.0	245000	468.73215	81.96151	542.5553	145.4061	-470.08566	12.795372	3871.700468301773
50	4502.8384	340.99985	4909.881	3944.0146	4721.5	103.90423	4892.997	4577.7964	1000.0	1000.0	250000	471.0163	82.411674	543.27026	149.02657	-472.3876	12.65942	3951.1085760593414
51	4552.041	119.4083	4693.3184	4382.3193	4657.2466	145.8609	4812.4233	4273.2983	1000.0	1000.0	255000	473.9313	83.182655	544.40875	144.0913	-475.3139	12.472875	4030.4351975917816
52	4488.5576	42.261898	4530.871	4423.3765	4697.778	110.13738	4854.9653	4481.0913	1000.0	1000.0	260000	477.29092	84.3669	547.75037	135.74654	-478.7164	12.472041	4109.9945187568665
53	4341.6157	239.76047	4596.675	3921.069	4310.366	288.7243	4538.5625	3548.492	1000.0	1000.0	265000	481.13263	84.817986	550.7802	123.44826	-482.57986	12.688098	4189.872443914413
54	4517.5806	135.57436	4685.4473	4318.937	4629.9937	219.24109	4860.6685	4079.2585	1000.0	1000.0	270000	484.5976	84.90945	557.66394	130.42804	-486.0451	12.706016	4269.447967767715
55	4446.156	337.50092	4809.9497	3864.1287	4681.6436	60.79188	4773.4175	4567.095	1000.0	1000.0	275000	488.20206	84.636795	563.6517	133.79291	-489.6693	12.535614	4349.4298577308655
56	4317.0024	366.4412	4706.47	3619.7456	4556.107	165.44713	4720.0464	4202.607	1000.0	1000.0	280000	491.3533	84.43795	564.7082	131.68126	-492.8108	12.998127	4429.013441324234
57	4112.8677	762.845	4591.4077	2607.277	4627.571	133.9487	4892.1997	4378.943	1000.0	1000.0	285000	493.4908	84.58148	569.0652	139.24687	-494.9357	13.395924	4508.847007274628
58	4285.677	226.25337	4591.4854	3951.5417	4018.2388	299.7395	4504.4727	3522.2212	1000.0	1000.0	290000	495.59924	84.77672	572.8398	141.44885	-497.0608	13.797891	4588.569698095322
59	4031.981	375.40115	4470.285	3480.5288	4207.606	160.31435	4387.4854	3864.1306	1000.0	1000.0	295000	498.45386	84.50083	576.14545	140.29279	-499.93814	13.510772	4668.477355003357
60	4283.329	211.24277	4483.572	3942.7087	4461.219	167.09381	4695.4253	4206.43	1000.0	1000.0	300000	500.95514	83.35899	577.0064	142.23773	-502.4197	13.729969	4748.447496652603
61	4518.366	268.18277	4817.0703	4052.3765	4544.4585	151.3758	4723.135	4236.8296	1000.0	1000.0	305000	502.59244	82.68693	578.4624	147.80751	-504.0546	13.635634	4828.209635257721
62	4342.286	219.53008	4579.205	3947.254	4756.876	88.31882	4930.728	4632.2363	1000.0	1000.0	310000	504.4418	81.282486	580.5488	158.38617	-505.8948	13.593911	4907.310933589935
63	4198.382	286.27243	4514.611	3725.9412	4395.5786	177.85527	4679.117	4028.3894	1000.0	1000.0	315000	505.86935	80.37715	580.88556	165.47423	-507.3318	13.494743	4986.598761796951
64	4386.706	257.35703	4756.309	4105.9946	4722.318	101.18073	4845.1016	4554.7437	1000.0	1000.0	320000	507.30746	79.425095	580.7395	173.61191	-508.7654	13.403781	5066.34680891037
65	4474.3135	278.89523	4824.521	4018.313	4737.7827	150.51543	4952.963	4437.928	1000.0	1000.0	325000	509.17212	78.17424	586.8732	176.8007	-510.65305	13.182183	5145.750814199448
66	4469.575	328.91364	4776.6626	4014.108	4782.1323	80.51183	4933.1084	4640.918	1000.0	1000.0	330000	510.63422	77.59489	585.3763	177.24666	-512.0996	12.987694	5225.427717208862
67	4413.2593	332.50012	4807.541	3911.3333	4766.4263	140.06607	5005.882	4485.2397	1000.0	1000.0	335000	512.61584	75.33158	584.677	194.88747	-514.1029	13.031189	5305.059367179871
68	4679.854	174.62486	4994.2476	4498.9756	4831.019	107.33688	5013.521	4594.4097	1000.0	1000.0	340000	514.0799	74.03144	586.4808	208.83775	-515.5448	12.658329	5385.267247200012
69	4403.4766	288.5701	4706.677	3978.217	4671.031	153.04562	4831.635	4356.3276	1000.0	1000.0	345000	515.713	72.90068	587.92487	213.80396	-517.1938	12.795042	5466.531810283661
70	4560.252	330.38184	4825.049	3931.7346	4793.2524	201.29591	5096.1313	4313.188	1000.0	1000.0	350000	517.6581	71.48026	588.5944	216.42311	-519.12616	12.715001	5547.513011217117
71	4705.0273	244.71867	4899.4077	4238.916	5016.382	103.669014	5159.8145	4786.4897	1000.0	1000.0	355000	518.7601	71.03978	591.9653	224.61832	-520.2297	12.760485	5626.881960868835
72	4741.963	107.70648	4847.9883	4559.0044	4919.129	117.67853	5164.8247	4753.114	1000.0	1000.0	360000	520.37286	70.14962	590.6243	227.51741	-521.8416	12.720536	5706.406376838684
73	4913.532	101.39096	5021.2603	4733.715	4725.69	122.47089	4949.9697	4580.18	1000.0	1000.0	365000	521.64386	69.62453	593.47974	223.43402	-523.11597	12.714578	5785.659676551819
74	4821.916	133.02136	5019.516	4607.6885	4803.0894	238.91783	5231.9497	4443.5566	1000.0	1000.0	370000	523.293	69.99207	594.3215	223.83606	-524.7786	12.495293	5864.795475482941
