Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
25	3381.7065	117.8655	3604.8943	3294.2988	1183.4365	12.793743	1201.5667	1165.1145	4236.4165	128.1609	4541.5366	4084.0376	1000.0	1000.0	125000	346.10007	43.012066	408.16635	165.73312	-348.0477	9.707163	2230.5886855125427
26	3584.114	172.49968	3851.8794	3396.705	1179.3738	23.045254	1224.8699	1162.3503	4134.2163	192.48218	4416.5537	3817.901	1000.0	1000.0	130000	353.6028	42.876114	420.8651	173.64801	-355.56924	9.643762	2321.522155046463
27	3495.5435	102.09364	3661.383	3369.552	1180.9332	23.769049	1211.6422	1151.3369	4297.6226	187.93248	4576.7607	3922.1685	1000.0	1000.0	135000	360.92004	42.74431	422.93054	179.99527	-362.79965	9.644979	2412.6809799671173
28	3737.2266	84.95468	3879.9578	3639.7795	1147.1736	21.514687	1167.5088	1106.0636	4383.587	116.89247	4585.6216	4155.9424	1000.0	1000.0	140000	368.03088	42.519215	432.81125	185.01253	-369.86838	9.485922	2509.666987657547
29	3544.8276	87.18212	3657.7524	3432.794	1166.133	20.68975	1193.3726	1138.6122	4186.006	210.4143	4604.3857	3756.2134	1000.0	1000.0	145000	374.3374	42.754143	442.5954	190.42073	-376.39166	9.8323965	2605.451731443405
30	3722.7495	53.463634	3789.9631	3654.22	1148.8566	33.200672	1182.4028	1097.6959	4090.7075	126.5293	4282.1924	3878.6804	1000.0	1000.0	150000	380.63235	42.66382	448.2433	195.14209	-382.55475	9.873007	2700.548632144928
31	3581.9512	70.974915	3661.5508	3468.088	1121.691	17.110477	1147.6304	1096.589	4321.1406	124.61836	4534.1294	4170.2646	1000.0	1000.0	155000	386.5494	42.676456	451.26434	200.03098	-388.602	10.014957	2796.9920723438263
32	3656.6785	119.49369	3868.9753	3552.689	1152.8342	33.57148	1191.9036	1094.7672	4438.4717	165.47829	4669.1543	4150.7285	1000.0	1000.0	160000	392.3135	42.23402	459.26065	207.32747	-394.2066	9.914078	2891.9230523109436
33	3551.875	169.77551	3759.316	3328.704	1166.1598	29.659266	1202.0203	1119.2574	3974.108	122.36696	4222.3804	3815.8174	1000.0	1000.0	165000	397.6904	42.07006	462.25543	212.89832	-399.6519	9.899306	2993.86737203598
34	3609.4517	141.63089	3844.53	3460.175	1168.663	28.999653	1203.325	1131.8888	4159.6533	125.819824	4390.6787	3951.4382	1000.0	1000.0	170000	402.67603	41.822403	464.3919	213.56978	-404.6229	9.856443	3092.283544063568
35	3615.7163	131.78575	3797.4722	3403.8206	1195.7766	42.34223	1272.6423	1156.4701	4283.995	189.37666	4621.4863	3827.783	1000.0	1000.0	175000	407.46234	41.44548	469.25156	219.54253	-409.21448	9.785506	3187.139365196228
36	3648.6523	72.47023	3765.5247	3564.9746	1176.9772	34.889275	1220.2404	1113.7692	4729.9956	126.929634	4954.24	4508.559	1000.0	1000.0	180000	411.71494	41.422035	471.88287	219.13547	-413.70142	10.0586	3280.700706720352
37	3670.94	70.13402	3756.6191	3568.096	1185.2302	30.956976	1212.4828	1136.1592	4410.7603	150.83987	4675.1406	4223.149	1000.0	1000.0	185000	415.9034	41.18449	476.87997	223.07178	-417.89398	10.136301	3377.188627719879
38	3764.272	88.66386	3917.0107	3642.7651	1201.8	31.332924	1237.0062	1144.5492	4260.179	85.51636	4361.75	4125.359	1000.0	1000.0	190000	419.89346	41.164013	480.7154	228.14574	-421.7975	10.062054	3473.3233511447906
39	3593.8413	88.68367	3728.293	3455.43	1209.8328	32.68495	1268.4224	1179.5085	4808.028	101.98617	4927.1	4628.1978	1000.0	1000.0	195000	423.70657	40.87806	481.32217	227.94109	-425.69025	9.847555	3565.5636246204376
40	3586.339	110.85208	3713.9858	3400.6162	1208.4004	24.592413	1237.2833	1180.1653	4501.28	58.453754	4609.515	4442.71	1000.0	1000.0	200000	427.29214	40.61785	486.2529	231.05429	-429.2414	9.867083	3659.527618408203
41	3661.1802	130.50198	3887.0723	3547.6184	1209.9426	17.685135	1234.7499	1190.3914	4939.6426	92.850624	5088.147	4756.194	1000.0	1000.0	205000	430.6081	40.481976	488.3918	232.97519	-432.5147	9.791105	3753.3398134708405
42	3560.582	160.2748	3746.86	3264.4644	1236.8373	38.27248	1311.2083	1210.1855	4790.421	157.96309	4963.314	4527.394	1000.0	1000.0	210000	433.70108	40.318832	492.37985	233.89737	-435.6156	9.778098	3847.663709640503
43	3717.688	33.06922	3746.4963	3655.7012	1209.389	20.755266	1241.3339	1190.2588	4775.117	112.885025	4949.0586	4555.069	1000.0	1000.0	215000	436.3746	40.229843	491.55734	234.9507	-438.3463	9.949922	3944.097857952118
44	3713.5742	137.71623	3921.5671	3537.3643	1220.5145	20.79801	1244.3258	1190.472	4730.882	122.55503	4884.0996	4527.227	1000.0	1000.0	220000	439.2458	39.600925	494.0808	240.09906	-441.243	9.804942	4039.0463860034943
45	3793.3345	90.364716	3940.985	3711.361	1243.4984	26.535368	1280.0073	1207.9485	4694.326	160.56041	4927.9014	4336.136	1000.0	1000.0	225000	441.59033	39.47059	497.39026	238.04805	-443.5843	9.51221	4135.724568843842
46	3762.097	125.02438	3911.9172	3568.4727	1234.7803	31.933397	1268.4559	1178.5695	4927.9424	109.01103	5103.0645	4732.3315	1000.0	1000.0	230000	444.07498	39.098503	498.2718	238.93022	-446.00906	9.6160965	4231.711488723755
47	3594.8477	145.71759	3755.252	3376.3225	1263.177	20.805275	1288.4734	1234.2198	4891.349	74.200745	4999.962	4769.5176	1000.0	1000.0	235000	446.16614	38.843987	501.71603	244.94395	-448.1724	9.531735	4326.7552318573
48	3801.3481	45.73695	3870.4604	3751.0793	1245.1996	18.165981	1263.3447	1215.4412	5062.975	224.52657	5257.0366	4441.795	1000.0	1000.0	240000	448.14435	38.673542	501.9507	246.60449	-450.1419	9.711459	4421.266865491867
49	3628.1023	153.2654	3871.7627	3433.061	1237.3604	39.641537	1271.4426	1160.1165	4949.6416	147.24394	5201.252	4681.6807	1000.0	1000.0	245000	450.18597	38.478233	503.67377	247.16125	-452.1411	9.61379	4531.447610616684
50	3737.2363	113.56909	3917.7463	3582.3762	1253.2933	14.322883	1266.6807	1228.2949	5028.2837	125.06195	5257.7324	4809.725	1000.0	1000.0	250000	451.9495	38.238472	507.19666	250.09248	-453.7521	9.540428	4683.54723072052
51	3703.638	88.373634	3849.3306	3577.4863	1272.175	23.705856	1298.8866	1239.6661	5041.6484	88.25628	5152.5493	4817.7593	1000.0	1000.0	255000	453.66074	37.9652	506.49197	254.56474	-455.4839	9.541098	4837.086208581924
52	3735.9321	117.61742	3862.0742	3580.9558	1265.0403	13.768344	1285.0958	1248.1704	5316.317	70.9217	5422.4478	5196.683	1000.0	1000.0	260000	455.55057	37.75002	508.48065	248.99547	-457.48615	9.417172	4986.794561624527
53	3777.7227	90.759995	3891.396	3662.018	1258.6364	21.98203	1297.975	1238.9615	5258.975	56.591564	5373.8105	5187.788	1000.0	1000.0	265000	457.15887	37.60794	510.62598	253.33623	-459.0455	9.615475	5135.928926229477
54	3835.9976	64.37652	3961.508	3782.64	1258.0178	27.57002	1311.3507	1234.986	4951.7314	63.0427	5048.671	4856.985	1000.0	1000.0	270000	458.96417	37.570232	511.1098	252.8367	-460.8846	9.46594	5286.222375631332
55	3733.1426	125.3405	3894.9211	3536.386	1276.8096	35.512257	1328.6681	1233.885	5203.4946	85.44602	5310.663	4996.4546	1000.0	1000.0	275000	460.61813	37.525246	512.44666	256.3466	-462.50244	9.544898	5435.737845897675
56	3781.8567	93.83374	3960.2275	3701.1729	1298.6749	19.080606	1329.2021	1269.2466	5001.7607	197.98041	5262.043	4671.0493	1000.0	1000.0	280000	462.242	37.216415	515.69885	254.63354	-464.1867	9.640553	5584.838413953781
57	3860.5835	28.132168	3903.2605	3822.4075	1277.0627	23.987309	1311.1108	1240.0245	5227.248	63.213608	5326.276	5129.623	1000.0	1000.0	285000	463.8695	36.84951	517.22595	260.36115	-465.689	9.498282	5734.3874542713165
58	3786.0417	125.95754	4002.1016	3643.0024	1277.6877	36.21696	1336.26	1227.2605	5129.569	249.19707	5412.7993	4524.328	1000.0	1000.0	290000	465.40305	36.88215	517.7384	259.72693	-467.3085	9.500803	5884.154660701752
59	3768.3508	118.36242	3929.248	3616.8716	1315.1616	19.08192	1343.5088	1286.2678	5291.6416	77.34876	5398.964	5117.6235	1000.0	1000.0	295000	466.7911	36.963634	518.0322	263.3418	-468.80106	9.50491	6034.182510852814
