Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpVarUncertainty	StdEpVarUncertainty	MaxEpVarUncertainty	MinEpVarUncertainty	AverageEpVarUncertaintyClipped	StdEpVarUncertaintyClipped	MaxEpVarUncertaintyClipped	MinEpVarUncertaintyClipped	AverageEpStdUncertainty	StdEpStdUncertainty	MaxEpStdUncertainty	MinEpStdUncertainty	AverageEpStdUncertaintyClipped	StdEpStdUncertaintyClipped	MaxEpStdUncertaintyClipped	MinEpStdUncertaintyClipped	Time
1	-308.05548	78.017975	-207.29604	-399.94302	-243.04338	87.40386	-143.44164	-444.59354	1000.0	1000.0	5000	2.611435	3.2746122	21.137403	-4.0772686	-3.6937797	0.17174472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.00690746307373
2	-285.44537	51.29937	-218.77867	-352.5111	515.3549	57.730286	612.5636	389.17523	1000.0	1000.0	10000	23.331154	10.035857	59.11177	1.227731	-26.309525	0.7952368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.63971090316772
3	-168.56653	168.49431	76.406075	-362.38815	-293.71014	194.82393	-28.023792	-647.8662	1000.0	1000.0	15000	49.604305	8.943846	93.97204	24.767494	-51.965324	2.2171726	224.80042	43.337933	263.9583	142.82417	282.6436	35.885223	315.1214	214.84903	302.68866	55.96278	352.52393	196.49821	357.60245	48.55785	401.17426	265.51947	250.05835342407227
4	-232.96411	117.630135	-55.01447	-390.42957	-417.4047	153.70305	-79.212036	-590.8987	1000.0	1000.0	20000	64.55686	9.634046	114.352516	37.185093	-66.233185	2.5938454	266.34143	72.67025	343.00452	170.81186	315.42987	60.66156	380.88058	237.26082	362.84702	92.08659	454.52533	235.83293	407.1797	80.1096	488.27487	298.95294	375.0726058483124
5	362.87286	499.86432	928.6268	-304.4288	-0.5144806	296.4894	549.3865	-316.18457	1000.0	1000.0	25000	74.41026	13.078476	134.1285	46.170746	-75.741135	2.7016804	258.48093	18.489061	279.82837	226.46863	308.63797	14.923208	325.32068	282.8825	353.31125	25.033737	384.04993	309.96793	398.29507	21.293894	424.02444	361.27753	500.4783179759979
6	457.0915	551.9655	1396.1145	-178.96585	449.41953	727.5227	1682.1417	-255.21411	1000.0	1000.0	30000	82.7365	14.787073	131.46692	52.89926	-84.085976	2.514809	267.30768	16.283657	291.87537	248.40599	314.14627	13.475662	336.28995	299.8839	371.62982	22.348293	395.8415	338.84467	412.40552	19.09036	436.4586	386.52057	625.3906502723694
7	705.3112	465.14258	1321.0303	57.492508	838.15967	728.473	1929.2363	-380.46722	1000.0	1000.0	35000	90.245544	19.292751	147.37517	52.25131	-91.61611	3.0436714	299.64417	33.04233	347.69562	257.60965	337.73563	27.523514	377.97583	302.91626	424.81982	42.074387	485.1072	370.34003	455.53052	37.00727	508.78165	407.87283	751.190952539444
8	1033.1772	453.08902	1645.3844	348.72855	1031.8141	943.4058	2271.5024	-119.00014	1000.0	1000.0	40000	97.42696	25.444689	164.86354	52.151257	-98.708336	3.4788704	285.75568	35.2722	344.08072	245.387	325.05365	30.636791	375.36337	289.8539	411.1779	40.444122	479.31503	365.59348	441.95892	36.916676	503.41013	399.73254	876.265481710434
9	1487.7786	113.92368	1595.9364	1272.1471	1543.5187	852.7063	2411.2	90.271805	1000.0	1000.0	45000	108.26967	32.26923	182.1189	51.86372	-109.697716	4.0807996	249.61841	18.396936	279.42648	230.21072	294.58313	15.890146	319.7062	277.81903	367.0682	21.217299	403.51636	345.06674	402.91577	19.215569	435.4539	382.8121	1001.0447065830231
10	1839.761	320.97662	2089.7107	1231.0737	518.0954	821.65015	2199.2317	-357.53436	1000.0	1000.0	50000	120.19228	39.162426	215.05585	53.046375	-121.5469	4.663524	263.4	22.801352	308.2312	244.32127	307.2312	19.30712	345.1124	290.54227	380.1144	28.135443	435.53452	358.45898	415.54926	24.841356	464.49835	396.05887	1125.4204971790314
