Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-243.43745	58.607838	-188.13089	-322.68665	-582.12115	42.65527	-499.00632	-656.6726	1000.0	1000.0	5000	2.4106133	2.912269	18.112978	-4.7667875	2.4109313	2.9131975	17.66032	-5.0905056	-3.693957	0.45812374	41.843616008758545
2	-253.56108	53.720665	-186.35393	-326.81625	-683.57477	111.095146	-588.78955	-928.22363	1000.0	1000.0	10000	14.430666	7.9634986	49.124573	-7.1574116	14.431735	7.9641967	50.469387	-7.607893	-17.746172	2.0906315	82.81110310554504
3	-470.53662	254.78802	-7.8950357	-758.24023	-546.31586	55.18815	-436.3637	-602.86237	1000.0	1000.0	15000	30.305073	12.485117	64.74856	-26.742886	30.30614	12.485429	65.59296	-25.914562	-32.567944	4.15606	129.07934308052063
4	-315.8886	143.12079	-120.65356	-505.1277	-249.85274	347.8383	441.27518	-614.0999	1000.0	1000.0	20000	29.7031	15.909537	77.513596	-17.412125	29.703802	15.90933	76.07431	-18.126955	-31.103712	2.8460424	169.27877712249756
5	812.4196	742.13464	1517.4575	-410.32043	21.752853	450.429	1136.8479	-454.92877	1000.0	1000.0	25000	28.561632	20.700224	92.58778	-11.995213	28.562004	20.70124	92.7883	-13.587549	-29.75004	3.0903685	209.78809809684753
6	1986.7219	875.8158	2804.6226	381.05222	1781.2347	1168.1522	3155.3162	159.49026	1000.0	1000.0	30000	36.00625	30.836145	123.74628	-9.278701	36.006283	30.836464	121.70175	-10.677483	-37.43691	5.1857734	248.97179102897644
7	1995.0319	984.11273	3078.9995	223.5	2030.2933	1049.2208	3295.4663	447.047	1000.0	1000.0	35000	48.350983	42.659378	152.852	-11.032736	48.35136	42.660038	154.35837	-10.342929	-50.12545	8.216984	287.4630401134491
8	3152.0894	733.755	3720.2017	1757.6744	2878.4412	187.39807	3258.6104	2585.0847	1000.0	1000.0	40000	67.084854	55.297367	180.37561	-12.547421	67.08499	55.298687	183.33209	-12.123516	-69.13409	11.873818	325.161416053772
9	3730.1606	235.53166	4034.0522	3320.9602	4312.519	117.401375	4505.786	4120.135	1000.0	1000.0	45000	88.74382	65.64096	212.89616	-12.423994	88.74394	65.64228	212.73195	-12.347695	-91.1752	15.682015	362.6734960079193
10	4096.247	390.7434	4524.3936	3392.077	4360.4365	144.89932	4536.8945	4080.08	1000.0	1000.0	50000	112.30931	74.48669	236.32463	-11.477031	112.3095	74.48783	235.94026	-11.525889	-114.727165	17.668455	402.1313591003418
