Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpVarUncertainty	StdEpVarUncertainty	MaxEpVarUncertainty	MinEpVarUncertainty	AverageEpVarUncertaintyClipped	StdEpVarUncertaintyClipped	MaxEpVarUncertaintyClipped	MinEpVarUncertaintyClipped	AverageEpStdUncertainty	StdEpStdUncertainty	MaxEpStdUncertainty	MinEpStdUncertainty	AverageEpStdUncertaintyClipped	StdEpStdUncertaintyClipped	MaxEpStdUncertaintyClipped	MinEpStdUncertaintyClipped	Time
1	-318.82422	109.96733	-203.05714	-522.85126	-471.8094	35.6532	-423.73032	-542.55585	1000.0	1000.0	5000	3.1115549	3.739199	21.225798	-6.6302853	-4.28272	0.17105728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.05403542518616
2	-217.30106	20.893244	-181.7766	-238.36191	-548.6711	111.10968	-333.323	-780.9597	1000.0	1000.0	10000	20.590677	10.197871	53.39929	-4.181155	-23.24798	0.7454324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.44785451889038
3	-210.31555	231.13484	157.80544	-498.43417	-501.16278	106.36369	-338.93362	-665.9979	1000.0	1000.0	15000	46.97622	11.923901	88.85918	12.96916	-49.582108	2.1716454	685.60583	365.40775	1086.1339	200.54747	1155.3982	306.9618	1485.7139	749.7439	937.8495	455.515	1459.4545	332.7749	1380.651	394.4785	1826.447	851.8856	221.52885246276855
4	-117.50743	527.0927	890.97284	-608.5093	44.026894	226.51643	517.86584	-169.18936	1000.0	1000.0	20000	68.175766	16.86042	134.35431	31.55012	-70.716415	2.7118702	1590.5317	224.66203	1861.9401	1286.3158	1946.2328	196.32631	2183.6567	1673.3849	1955.5472	253.3543	2257.235	1640.7129	2290.3516	225.42302	2559.8906	2000.6614	317.373521566391
5	201.12003	134.83202	367.20633	52.96947	90.655876	219.93217	526.1038	-325.04916	1000.0	1000.0	25000	81.175995	25.507828	149.97348	37.121983	-82.78517	2.7214289	1676.6545	349.40942	2094.2532	1100.1698	2015.9603	303.35754	2387.435	1521.7026	2072.3284	400.8033	2511.1277	1389.7682	2387.312	352.49533	2784.336	1792.8706	413.1439700126648
6	1040.8656	900.4141	2322.069	191.63588	786.8092	517.4295	1319.6816	-151.54367	1000.0	1000.0	30000	89.94541	34.27694	178.51729	37.541557	-91.5577	3.3821087	1581.2853	174.96204	1816.1771	1329.1952	1908.8219	162.62854	2118.6565	1679.2551	2053.1255	169.86542	2302.0684	1804.1492	2343.0364	158.26381	2569.8608	2111.4836	508.8380401134491
7	1128.8207	758.3076	2136.1602	200.49068	545.76074	947.0694	1893.9404	-706.29767	1000.0	1000.0	35000	104.504814	43.706226	212.8041	33.538902	-106.15324	4.763732	1466.7234	245.65344	1932.0912	1237.2971	1808.0896	226.14067	2237.74	1595.7787	1926.5703	240.87073	2364.3152	1711.2527	2229.939	223.98454	2645.364	2022.8081	605.211795091629
8	2133.8438	697.09094	2738.1106	777.164	2228.6196	1091.3451	3237.201	417.09497	1000.0	1000.0	40000	121.667984	53.653698	237.33089	35.18426	-123.400024	6.384657	1514.0435	71.98436	1610.007	1430.2811	1826.823	64.13051	1924.0997	1753.6746	2065.4504	86.25664	2200.029	1966.818	2325.1472	73.8697	2428.615	2239.0244	701.5308828353882
9	2331.4688	876.99506	3183.277	912.65234	3177.8208	846.7636	3681.0703	690.2394	1000.0	1000.0	45000	141.67732	64.76965	269.88092	34.228226	-143.52316	8.080096	1545.4296	241.43579	1963.4718	1307.694	1866.7302	208.65396	2225.5476	1663.8893	2057.1714	278.0921	2546.7295	1776.2902	2330.0227	248.03262	2763.574	2080.0051	797.4097237586975
10	2802.9395	1253.6453	3618.889	308.3948	3833.4836	38.789265	3894.913	3759.8223	1000.0	1000.0	50000	164.39407	78.21167	307.7131	33.848206	-166.57233	10.567148	1388.0702	401.30557	2187.1553	1122.2592	1739.7363	350.5955	2438.2964	1511.1547	1840.5436	449.83145	2734.5408	1531.1768	2149.041	402.9625	2950.05	1872.0878	893.1816265583038
