Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
25	4116.3125	361.66998	4556.554	3500.9956	1762.6881	1800.3768	5022.675	-131.83583	1000.0	1000.0	125000	177.25967	123.894035	353.77182	-63.22313	177.24696	123.89928	359.82892	-44.04517	-178.5391	143.20187	1859.8586611747742
26	3693.0925	968.1677	4541.0093	1808.3512	3041.9849	1600.511	4179.0103	-201.12015	1000.0	1000.0	130000	183.2429	124.96065	360.35114	-58.013077	183.23174	124.96908	363.7945	-39.021767	-184.38048	146.16832	1950.2497780323029
27	2629.8267	1847.1936	4343.1343	-91.007095	3945.0474	955.20795	4445.8574	1100.4788	1000.0	1000.0	135000	188.8294	126.08317	364.83557	-65.572235	188.81929	126.09308	361.33627	-46.92774	-189.9711	147.50603	2038.8516941070557
28	3006.905	1349.1741	4465.8228	790.373	3067.0256	1850.6141	5093.214	-75.96412	1000.0	1000.0	140000	191.66275	128.11722	369.17734	-34.782238	191.65453	128.12282	373.06775	-57.914753	-192.72437	149.18245	2123.2452471256256
29	3084.7144	1166.4202	4694.2803	1526.0951	2370.3745	1377.2811	4217.513	261.8461	1000.0	1000.0	145000	195.1226	129.64314	368.7105	-65.14816	195.10869	129.65254	376.825	-73.64643	-196.0753	153.35172	2204.0062520504
30	2150.8074	1742.0898	4165.072	-254.06032	4191.2686	340.15082	4723.695	3345.9004	1000.0	1000.0	150000	198.50688	131.09656	377.67746	-47.884663	198.49507	131.10608	371.72702	-38.222168	-199.68953	154.51115	2290.809990167618
31	2482.8625	1504.0831	4352.0903	833.4698	2979.7278	1748.7762	4828.372	152.16113	1000.0	1000.0	155000	198.81905	133.5829	380.09573	-44.833206	198.80449	133.59619	383.17792	-45.029076	-199.81218	157.4984	2426.0422871112823
32	4018.8918	822.56775	4947.7974	2569.7231	3249.7922	1816.8331	4965.49	504.958	1000.0	1000.0	160000	202.99725	134.16985	376.86844	-39.65272	202.9856	134.18095	379.29953	-47.867283	-203.85742	159.05608	2576.7025010585785
33	2938.8096	1571.6615	4344.7036	359.5261	3606.7546	1347.0132	4541.184	-12.939993	1000.0	1000.0	165000	206.40239	134.96399	381.83136	-123.34871	206.38866	134.97507	381.2483	-107.970535	-207.5617	164.54384	2735.691085100174
34	4243.3193	363.61334	4798.6025	3670.3005	3544.5366	1310.1187	4720.737	862.6786	1000.0	1000.0	170000	210.46556	135.49203	383.2976	-98.67828	210.45195	135.5063	386.3263	-110.60075	-211.22342	171.2983	2883.1205191612244
35	4051.1328	749.69604	4680.875	2770.9277	4179.423	665.2117	4722.3115	2276.899	1000.0	1000.0	175000	215.18378	135.74382	381.6856	-99.75904	215.17183	135.75581	385.9124	-32.73741	-216.04018	167.3579	3035.2573878765106
36	4153.432	142.65996	4361.6167	3974.3755	3905.8843	1062.7609	4437.978	749.79126	1000.0	1000.0	180000	220.16983	135.61296	393.70007	-58.56509	220.15858	135.61865	384.20642	-92.29497	-220.9887	169.41068	3194.2717611789703
37	4192.1167	352.70657	4666.9727	3636.3257	2608.2554	1797.001	4547.8086	-218.39522	1000.0	1000.0	185000	224.64206	135.37782	384.4085	-72.826225	224.63177	135.38301	384.28458	-60.005257	-225.71085	169.25833	3347.7973248958588
38	3592.3315	1273.4865	4323.8047	1057.0305	4269.213	404.74515	4696.5176	3267.2383	1000.0	1000.0	190000	228.4691	135.71336	386.68277	-56.082703	228.45692	135.72023	388.10464	-79.915794	-229.72823	170.16678	3492.210000038147
39	2973.448	1475.0089	4307.1357	694.2741	4390.7524	107.43125	4529.043	4185.1562	1000.0	1000.0	195000	230.11322	136.73491	394.93793	-63.47628	230.10431	136.74532	389.31256	-58.24893	-230.98924	172.89227	3621.0331711769104
40	4049.8293	269.5846	4559.7637	3758.6091	3064.0603	1375.7773	4425.7095	339.18457	1000.0	1000.0	200000	234.20316	136.55577	390.78708	-136.21112	234.18842	136.56425	393.62103	-134.64186	-235.19513	175.71936	3775.611205101013
41	3790.0696	269.85822	4128.212	3388.4417	4613.5312	197.5332	4868.6787	4169.4316	1000.0	1000.0	205000	239.05531	135.9433	397.1527	-60.106075	239.04358	135.95174	393.3554	-66.86245	-239.8436	174.12299	3923.8485610485077
42	3902.142	512.1799	4461.4014	3004.2473	3564.1758	1440.2903	4549.037	-209.1362	1000.0	1000.0	210000	242.41238	136.17339	400.28027	-39.89174	242.39977	136.1872	394.92316	-115.809326	-243.05482	171.0426	4074.100201845169
