Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
31	221.1038	27.673975	243.0149	166.88507	165.02332	37.649586	232.66034	92.11333	1000.0	1000.0	155000	4.9277997	7.663204	16.773643	-25.19634	-5.1137557	0.3420262	2572.66765499115
32	236.39226	25.097809	274.5509	203.46101	136.62625	22.903996	170.72195	92.05848	1000.0	1000.0	160000	6.2244353	7.8992877	18.444773	-24.428757	-6.4250407	0.37388128	2653.069263935089
33	198.5552	32.967484	235.0359	136.91414	137.3034	34.24138	189.28197	68.196266	1000.0	1000.0	165000	6.472858	7.924596	17.02799	-24.283522	-6.679652	0.3606123	2732.3429589271545
34	216.76486	25.389797	243.3004	184.47685	155.9701	27.189306	207.90767	125.94225	1000.0	1000.0	170000	6.4693804	7.8514414	17.533216	-24.965347	-6.6460266	0.4165326	2812.549169063568
35	205.06909	31.226135	239.60983	157.10075	157.76746	23.930727	210.74103	119.55414	1000.0	1000.0	175000	6.642047	7.844036	18.108738	-23.775354	-6.8643494	0.3266727	2892.459856033325
36	223.58969	22.808605	253.9211	186.44415	148.41167	34.682568	219.84235	92.6574	1000.0	1000.0	180000	7.119894	7.599769	18.336702	-23.969717	-7.292389	0.3953784	2972.260852098465
37	219.35014	14.266489	235.78526	196.64594	157.54872	20.913403	195.52173	131.50647	1000.0	1000.0	185000	7.685603	8.05342	21.804594	-23.594456	-7.8991513	0.36029413	3051.7440021038055
38	206.82877	11.665186	228.05785	194.40334	160.75818	22.859678	198.51514	135.87764	1000.0	1000.0	190000	7.7462864	8.038354	19.345922	-24.459007	-7.899232	0.3707084	3131.558933019638
39	225.16553	37.04203	280.98044	182.26717	157.10449	19.712301	189.51591	125.286644	1000.0	1000.0	195000	7.858288	8.4017	19.564503	-25.74701	-8.036835	0.36999303	3211.4225821495056
40	203.40756	42.03794	242.70836	128.30151	155.5661	23.255259	187.37065	115.73476	1000.0	1000.0	200000	8.354108	7.7323155	20.034292	-25.852568	-8.541172	0.40468484	3291.4473009109497
41	222.47156	6.819375	230.7832	210.70027	150.1223	25.805912	186.27399	111.089645	1000.0	1000.0	205000	8.709462	8.11648	20.90615	-25.03144	-8.853934	0.35655057	3370.9125950336456
42	239.63416	20.131348	272.90677	217.10252	167.72748	26.99499	199.93852	121.72709	1000.0	1000.0	210000	8.821039	7.7410254	18.999157	-24.909845	-8.979646	0.38663885	3450.7479078769684
43	227.98872	33.79087	273.92682	177.50356	169.55884	34.38825	217.24655	112.41596	1000.0	1000.0	215000	9.00394	7.8568525	20.842316	-24.998497	-9.130104	0.37051308	3530.7637388706207
44	214.48999	24.658073	248.6333	186.70872	156.152	35.31347	199.16	100.39427	1000.0	1000.0	220000	9.012483	7.6982217	19.964663	-26.00578	-9.146665	0.37158117	3611.5249490737915
45	245.54614	15.643616	271.1833	228.76953	-89.654594	6.2542152	-75.52233	-96.74336	1000.0	1000.0	225000	8.975593	8.220678	19.995049	-30.050407	-9.092079	0.33429462	3691.3298020362854
46	59.253662	124.63773	212.71721	-67.40742	152.16077	21.09085	192.66397	116.19235	1000.0	1000.0	230000	8.509844	8.094598	18.401371	-28.727207	-8.517523	0.24980073	3771.3782670497894
47	225.62944	15.380095	251.05263	209.61067	172.91605	34.584225	255.23222	120.67793	1000.0	1000.0	235000	8.119139	8.428721	21.035706	-30.139149	-8.253411	0.29780468	3852.1349120140076
