Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
26	4537.9814	93.79409	4676.284	4418.5635	1176.8945	38.118423	1236.5415	1130.2715	5574.665	225.85335	5773.5176	4921.373	1000.0	1000.0	130000	404.0276	91.49263	490.0808	118.75855	-405.9887	12.577725	3270.3015525341034
27	4537.181	214.20915	4845.414	4211.7397	1282.2075	63.524868	1389.1245	1228.2721	5802.5547	21.333025	5845.6157	5768.989	1000.0	1000.0	135000	412.4786	91.22364	496.32916	107.23724	-414.41788	12.563551	3405.009227514267
28	4581.876	99.16192	4687.5347	4417.409	1189.8914	80.55947	1292.4438	1049.3425	5478.4727	13.840799	5504.593	5459.739	1000.0	1000.0	140000	419.7071	91.52552	505.00128	97.15769	-421.63324	12.668935	3545.6898040771484
29	4602.448	88.570724	4701.468	4436.4185	1210.7476	19.99513	1235.3895	1180.0563	5739.2476	70.18163	5835.946	5599.59	1000.0	1000.0	145000	426.54333	91.58878	512.69257	95.65487	-428.4477	12.720659	3693.530086040497
30	4563.707	144.26549	4772.3613	4376.98	1265.4534	49.925266	1351.2311	1221.8802	5181.912	936.1559	5621.963	2391.2986	1000.0	1000.0	150000	433.07852	91.668076	515.7989	92.20747	-434.7871	13.207394	3830.27387881279
31	4607.124	73.93345	4739.9297	4515.844	1244.0598	44.458145	1299.4384	1190.4967	5779.737	31.22293	5827.943	5737.255	1000.0	1000.0	155000	439.6862	91.18674	520.9477	94.297844	-441.692	13.036138	3963.8886334896088
32	4767.9326	112.40777	4941.7866	4662.715	1272.5798	26.114857	1297.0315	1232.5212	4864.0186	1245.618	5914.4	2334.5906	1000.0	1000.0	160000	445.7698	91.326324	528.6568	94.72069	-447.5344	12.624728	4098.033735275269
33	4547.386	119.11827	4680.7324	4375.777	1288.3484	33.84113	1340.2563	1237.6508	5804.083	99.23177	5958.087	5624.023	1000.0	1000.0	165000	451.79236	90.9192	533.1505	96.63978	-453.6263	12.84122	4232.747250556946
34	4789.711	126.74096	4958.3135	4630.252	1265.8398	41.992146	1321.9679	1209.7638	5732.847	64.30927	5838.887	5640.288	1000.0	1000.0	170000	457.58456	90.31782	540.43646	99.91854	-459.5323	12.827457	4362.686190128326
35	4645.3726	108.37513	4750.5757	4444.2554	1266.4004	24.235504	1291.2667	1225.0144	5394.427	1567.396	6047.8105	710.8847	1000.0	1000.0	175000	462.54303	90.38037	544.3643	99.61207	-464.2445	12.664606	4497.450091600418
36	3638.778	1817.2357	4734.142	15.335219	1530.0862	434.59848	2398.3628	1279.9363	5580.3	57.00008	5653.3403	5504.8755	1000.0	1000.0	180000	465.64478	92.65038	546.97955	98.0854	-467.4206	13.503578	4630.084752559662
37	4750.2026	22.727592	4784.1157	4725.8433	1251.5576	39.68015	1318.8412	1201.6976	5683.4463	55.771313	5806.4575	5615.569	1000.0	1000.0	185000	469.52167	93.554016	551.3431	92.49256	-471.4122	13.615621	4762.8028399944305
38	4427.2656	854.06915	5044.91	2733.0005	1396.3947	176.33197	1734.803	1220.952	5681.6367	34.92431	5733.5312	5621.251	1000.0	1000.0	190000	473.06628	94.864	553.93024	84.682816	-474.6104	13.906328	4894.3497495651245
39	4774.7646	259.66846	5171.4995	4371.685	1293.562	56.199207	1369.1954	1226.6093	6071.052	57.84315	6164.715	5989.467	1000.0	1000.0	195000	476.39417	95.73997	556.8368	82.22395	-478.211	13.688308	5029.050137281418
40	4866.6885	122.6328	5032.551	4714.855	1285.8247	57.588295	1362.14	1211.2675	6133.5127	54.24721	6257.494	6062.169	1000.0	1000.0	200000	479.4625	96.768845	561.79395	73.98219	-481.38135	13.835516	5157.366844415665
41	4952.9775	148.61917	5177.7607	4773.5195	1286.6888	37.97063	1353.284	1237.2708	5597.2344	42.31445	5654.493	5512.181	1000.0	1000.0	205000	482.804	97.29366	562.92426	76.899956	-484.64185	13.582915	5291.391307592392
42	4860.303	134.29266	5058.3433	4690.7124	1318.011	55.952297	1382.3574	1248.8838	5786.1367	68.27983	5884.6567	5685.7827	1000.0	1000.0	210000	486.25406	97.586975	567.69617	69.23277	-488.0032	13.626178	5420.615141630173
43	4810.397	109.58973	5016.8765	4716.673	1294.1155	31.954954	1326.6042	1254.815	5971.8813	70.65214	6102.747	5868.05	1000.0	1000.0	215000	489.39905	97.6453	567.43396	65.6282	-491.1142	13.6154785	5556.943900585175
44	4823.421	150.37303	5015.9634	4586.9478	1339.1049	30.946514	1382.9614	1301.8716	6294.5083	109.17314	6480.889	6086.996	1000.0	1000.0	220000	492.8813	97.221985	576.31287	65.83037	-494.7748	13.501528	5685.683792829514
45	4795.001	173.58694	5034.519	4556.3477	1329.7107	44.842136	1380.5171	1254.6847	5716.839	268.2188	6133.114	5238.2056	1000.0	1000.0	225000	495.5093	97.587	576.1706	62.27637	-497.385	13.750078	5811.490288972855
46	4833.448	86.71325	4928.1665	4680.836	1333.2982	32.82978	1394.1036	1298.0922	5416.165	927.66364	5927.033	2684.7764	1000.0	1000.0	230000	498.41406	97.374	577.1842	63.41949	-500.2116	13.844489	5938.821362257004
47	4847.867	42.48946	4909.2725	4785.01	1355.2273	34.698124	1418.4635	1320.0459	6377.727	225.09604	6717.51	5947.731	1000.0	1000.0	235000	500.88998	97.20412	583.6035	64.83176	-502.6306	13.691211	6065.163396120071
48	4755.718	165.62889	4931.3296	4471.6895	1386.357	31.400211	1415.2356	1325.5393	6461.753	42.765587	6510.939	6354.055	1000.0	1000.0	240000	502.9925	97.2015	585.72345	64.69637	-504.8286	13.580289	6190.3424916267395
49	4925.035	72.36914	5008.6353	4813.1846	1325.365	48.19626	1419.3392	1288.8329	6040.064	484.34586	6507.207	4655.973	1000.0	1000.0	245000	505.55582	96.258514	587.0952	65.98254	-507.3687	13.822406	6319.884585380554
50	4271.0874	1429.2805	5171.093	1429.4049	1507.1599	304.96075	2112.5906	1288.3157	6112.1826	121.27907	6302.6816	5952.9614	1000.0	1000.0	250000	507.36026	96.340454	586.27295	70.74139	-508.9391	13.972356	6447.207086324692
51	4961.9814	217.3052	5219.958	4694.188	1367.9469	26.12003	1402.6805	1327.3553	6198.232	72.77144	6302.7725	6113.0654	1000.0	1000.0	255000	509.10086	96.62979	587.89374	68.73912	-510.5165	14.591359	6579.016629457474
52	4961.563	90.84536	5053.6914	4797.623	1357.9038	41.725002	1430.1539	1312.5847	6265.5205	55.57376	6346.7646	6162.2915	1000.0	1000.0	260000	511.28827	96.61845	589.3284	65.61942	-512.92505	14.156468	6704.3197610378265
53	5008.1885	205.52435	5287.525	4731.7837	1394.2305	39.93464	1447.247	1328.9209	4612.919	1108.924	5410.5874	1881.465	1000.0	1000.0	265000	513.1989	96.89603	591.9734	77.36222	-514.7627	14.290456	6830.022817850113
54	4968.4785	175.12859	5141.123	4668.7036	1406.6111	35.90967	1447.1333	1351.3275	6075.264	72.2936	6249.0674	5969.6655	1000.0	1000.0	270000	514.8909	96.783134	591.8647	84.32918	-516.42584	14.1297655	6959.890590906143
55	4931.603	240.53667	5139.5635	4474.8247	1385.919	40.88299	1410.9117	1304.5334	6030.334	60.58885	6138.2363	5947.5366	1000.0	1000.0	275000	516.852	96.772	593.28815	90.2136	-518.5923	14.223242	7092.407863855362
56	5012.467	171.14848	5190.9043	4743.2373	1378.2162	31.61601	1435.4813	1338.8423	6512.443	73.20045	6612.447	6390.9067	1000.0	1000.0	280000	519.0579	95.95711	595.81757	99.14746	-520.87494	14.22564	7218.247276544571
57	4942.3345	98.81028	5102.0674	4850.079	1398.378	38.618626	1435.9441	1336.5093	5868.932	43.057343	5917.5693	5755.7095	1000.0	1000.0	285000	521.13257	94.83437	596.6641	106.59124	-522.6957	14.284797	7343.72839140892
58	4930.3677	219.02507	5291.3145	4678.136	1408.2175	55.264477	1474.6005	1337.3246	6492.296	107.40495	6661.9233	6288.0005	1000.0	1000.0	290000	523.0556	94.23489	597.65186	109.10276	-524.8015	13.87422	7468.421208620071
59	4938.095	239.49643	5195.743	4554.156	1431.3523	27.615318	1466.9088	1385.6646	6453.4014	67.457756	6565.2295	6316.9756	1000.0	1000.0	295000	524.50555	93.85494	597.7585	110.56624	-525.96155	14.00609	7601.30061340332
60	5168.0977	212.3273	5446.6724	4876.0503	1425.8018	13.078484	1443.718	1409.1136	5943.8774	42.43999	6016.962	5886.1987	1000.0	1000.0	300000	525.7883	93.95428	600.60187	110.02959	-527.3265	14.015123	7747.434555053711
61	4926.6357	199.94601	5129.5986	4567.2056	1437.5453	29.315126	1472.2645	1399.3456	6303.7803	59.76693	6393.7686	6195.4224	1000.0	1000.0	305000	527.6887	92.98491	600.9346	109.80957	-529.3961	14.356832	7892.683570623398
62	5149.45	73.52732	5226.038	5027.2964	1470.598	49.523083	1551.5421	1409.1093	6291.2305	93.79527	6522.353	6146.22	1000.0	1000.0	310000	529.1958	93.095184	601.7516	107.85935	-531.2902	14.051432	8023.1861979961395
63	5128.7354	246.29715	5391.8604	4710.728	1464.0652	40.38015	1524.7208	1409.9082	6279.202	99.025795	6508.9795	6125.095	1000.0	1000.0	315000	531.2015	92.267746	604.06757	104.94432	-532.9705	13.9974785	8163.791971206665
64	5146.549	106.53425	5322.6963	4991.3633	1458.656	44.929073	1544.5858	1421.9347	6494.785	81.44387	6603.141	6347.6978	1000.0	1000.0	320000	532.66907	92.2	604.48676	105.98605	-534.4277	13.978497	8290.944965600967
65	5015.346	142.67146	5258.3486	4857.0874	1470.6781	17.329975	1489.8	1450.9047	6254.1963	113.243195	6432.003	5989.507	1000.0	1000.0	325000	534.31647	91.591034	605.4026	106.98769	-535.7919	13.930495	8420.290068387985
66	4517.9316	1075.6926	5331.597	2386.4062	1654.1836	289.07874	2230.6243	1473.9236	5864.7856	772.95215	6435.7725	3821.6367	1000.0	1000.0	330000	535.1312	92.58475	607.03894	104.28895	-536.8597	14.491208	8569.147910118103
67	5184.5356	136.28711	5326.267	4966.7085	1535.9147	29.91523	1580.6488	1497.0886	6399.1	82.27829	6527.913	6255.331	1000.0	1000.0	335000	536.8846	92.37995	613.99023	97.270966	-538.6902	14.488059	8721.122469425201
68	4125.7534	1974.6631	5323.0884	188.19618	1749.1198	423.43246	2594.021	1484.4465	6558.478	66.445435	6655.882	6455.9395	1000.0	1000.0	340000	537.9688	93.93602	613.57495	92.54197	-539.8533	14.970016	8860.630217313766
69	5037.4443	187.79404	5315.2314	4773.33	1589.3097	24.743042	1633.8588	1561.1128	6058.064	690.5908	6448.96	4018.2427	1000.0	1000.0	345000	539.5831	94.04121	614.04224	90.89861	-541.2123	14.9823	9008.584353923798
70	5177.689	168.54333	5364.7183	4919.0854	1563.141	27.210688	1606.5686	1527.0084	6294.979	92.31984	6410.4204	6094.9106	1000.0	1000.0	350000	541.14764	94.85663	616.4571	81.96309	-542.921	14.683484	9151.281597614288
71	4936.0337	132.97276	5065.504	4688.4272	1631.7717	18.6915	1652.3492	1598.1617	6261.4595	173.2727	6514.2695	5881.194	1000.0	1000.0	355000	542.9466	95.35761	615.8588	74.572205	-544.5935	15.134097	9304.042667388916
72	5092.216	194.12369	5275.552	4744.18	1605.5267	28.360443	1640.4429	1568.6085	6041.507	390.5715	6486.838	5012.25	1000.0	1000.0	360000	544.5851	95.936714	618.47186	76.99998	-546.3703	15.5877905	9455.188066005707
73	5037.443	153.17642	5261.557	4790.827	1568.6847	29.852707	1619.6172	1528.987	6244.548	99.347725	6425.1055	6123.6514	1000.0	1000.0	365000	546.5213	96.43933	620.08484	68.40012	-548.1099	15.647372	9614.085293293
74	5119.935	160.1346	5279.825	4848.0083	1600.3918	30.94172	1628.1448	1547.508	6406.027	60.537037	6502.6377	6289.623	1000.0	1000.0	370000	548.17645	96.76065	622.1779	68.52467	-549.6197	15.479708	9779.161415338516
75	5168.653	109.07575	5261.7983	5008.391	1635.9579	23.728918	1668.4824	1603.0873	6309.5205	119.28166	6579.6772	6163.4375	1000.0	1000.0	375000	549.51196	97.207886	622.8562	68.08915	-551.0748	15.846172	9943.848814964294
76	4948.7173	142.38063	5166.141	4720.1353	1631.918	36.50749	1664.2242	1564.3169	6330.089	233.29205	6660.0312	5721.318	1000.0	1000.0	380000	551.7558	96.71674	625.5389	67.16789	-553.3858	15.942664	10111.623509168625
77	5219.478	107.02847	5407.7627	5075.268	1655.9407	23.27771	1681.3005	1627.2834	6678.6904	64.40091	6791.002	6550.071	1000.0	1000.0	385000	553.3922	96.80612	629.92944	55.574295	-554.96234	15.778103	10263.776317596436
78	5079.992	147.25925	5306.0366	4889.2983	1673.5736	20.782454	1699.6824	1637.542	6694.7593	95.90766	6862.713	6541.445	1000.0	1000.0	390000	554.727	96.85536	630.09436	62.840622	-556.6682	15.879479	10399.420696020126
79	5293.507	95.273125	5408.6147	5181.4326	1648.3445	5.794414	1657.2281	1641.1489	6706.5376	60.97861	6813.9106	6640.698	1000.0	1000.0	395000	556.5434	96.64326	631.5794	46.235325	-558.3475	16.064508	10536.4534471035
80	5169.501	128.14233	5311.191	4934.853	1662.46	16.007437	1684.3489	1640.8134	6365.0913	140.77412	6560.515	6035.3833	1000.0	1000.0	400000	557.9947	96.50458	630.9381	42.93484	-559.595	16.105896	10678.893697023392
81	5226.299	147.49707	5401.0576	5035.1973	1689.191	18.006855	1710.0463	1657.7654	6593.802	65.650345	6744.9067	6476.8916	1000.0	1000.0	405000	559.4997	96.43126	634.2711	42.237064	-561.4744	15.882734	10826.902836084366
82	5283.518	65.64462	5395.3926	5206.039	1657.7572	47.434948	1715.0387	1575.4448	6453.2954	62.08186	6571.4873	6349.7744	1000.0	1000.0	410000	561.42175	95.91965	635.19714	43.17507	-563.07886	15.795174	10972.738803863525
83	5043.356	87.211235	5147.977	4888.545	1654.9124	34.071377	1692.99	1594.5494	6626.854	81.73007	6739.243	6519.089	1000.0	1000.0	415000	562.6009	95.80601	635.4342	34.253815	-564.46576	16.217659	11127.27290558815
84	5133.1084	154.73335	5374.0757	4919.2007	1719.8708	32.36769	1761.3749	1674.4833	6515.7485	67.27712	6612.177	6400.137	1000.0	1000.0	420000	564.028	95.24865	637.09906	39.395184	-565.9812	16.219578	11271.222479581833
85	4900.7935	141.4388	5074.281	4674.694	1700.7043	45.44871	1789.546	1662.7705	6255.231	51.58889	6392.232	6193.7383	1000.0	1000.0	425000	565.33545	95.01495	637.0039	31.329815	-567.1962	16.358126	11407.089911222458
86	5035.9165	192.56396	5258.286	4680.8384	1739.4434	34.764156	1802.9241	1707.1824	6392.0645	40.76878	6444.9517	6316.8457	1000.0	1000.0	430000	566.71826	94.65855	636.67944	35.56356	-568.7899	16.503374	11559.28712964058
87	5079.9287	108.33569	5252.16	4922.547	1764.7781	26.021872	1797.6355	1718.6233	6589.625	81.1655	6706.4414	6435.1973	1000.0	1000.0	435000	568.06006	94.30097	640.4356	44.746254	-569.929	16.326263	11701.539074897766
88	5277.9727	116.95511	5464.4893	5098.383	1736.1028	28.223194	1776.9539	1706.2451	6427.28	62.157417	6569.9546	6360.971	1000.0	1000.0	440000	569.39233	93.786736	640.7683	49.81479	-571.1025	16.234095	11849.14583849907
89	5027.64	69.766136	5107.0054	4916.0	1739.1018	39.679787	1777.4644	1663.4635	6317.8804	56.784286	6393.786	6211.183	1000.0	1000.0	445000	570.82837	93.003716	643.3205	48.813805	-572.3996	16.321777	11999.278790473938
90	5078.913	178.82652	5369.1943	4893.031	1774.6549	39.415836	1845.845	1736.8054	6422.691	97.49511	6619.7495	6284.122	1000.0	1000.0	450000	571.79944	92.02477	640.41724	55.189533	-573.3772	15.87855	12135.043787956238
