Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpVarUncertainty	StdEpVarUncertainty	MaxEpVarUncertainty	MinEpVarUncertainty	AverageEpVarUncertaintyClipped	StdEpVarUncertaintyClipped	MaxEpVarUncertaintyClipped	MinEpVarUncertaintyClipped	AverageEpStdUncertainty	StdEpStdUncertainty	MaxEpStdUncertainty	MinEpStdUncertainty	AverageEpStdUncertaintyClipped	StdEpStdUncertaintyClipped	MaxEpStdUncertaintyClipped	MinEpStdUncertaintyClipped	Time
16	4459.1743	203.57634	4735.295	4211.306	4797.9985	331.66797	5166.883	3972.7708	1000.0	1000.0	80000	302.31873	115.19617	446.6634	75.32431	-304.4916	11.603207	1239.5668	40.554268	1282.0356	1176.8475	1390.2783	30.736343	1433.5387	1346.8867	2365.6348	66.42093	2458.4531	2258.3472	2423.31	56.25285	2497.9136	2332.6174	7639.890125989914
17	4677.8477	119.37202	4812.014	4503.0723	5740.8643	91.42286	5874.6704	5565.38	1000.0	1000.0	85000	329.07867	117.91808	474.24936	90.058266	-331.5394	12.924124	1265.0938	79.70608	1360.6794	1171.0632	1413.4763	73.13204	1502.1279	1334.6691	2392.8198	84.19333	2497.547	2268.4465	2446.5952	81.40778	2550.5955	2334.721	8221.611816167831
18	4786.3433	198.11661	5100.556	4558.851	5532.879	71.30348	5636.915	5413.1133	1000.0	1000.0	90000	355.89993	119.54662	498.3682	102.56225	-358.48505	13.497786	1262.8761	48.743538	1315.3165	1199.9188	1411.4547	35.7486	1457.051	1360.5966	2393.259	76.35635	2460.5469	2292.849	2448.4778	66.54414	2508.1235	2363.2947	8801.009632825851
19	3786.5593	1649.9933	4886.0015	533.47534	6086.018	77.88986	6178.5586	5935.256	1000.0	1000.0	95000	380.78046	121.864555	528.34094	118.457855	-383.49493	14.932475	1508.3977	438.9697	2369.5962	1203.088	1632.4745	407.70364	2434.488	1356.2379	2645.159	414.5931	3450.6277	2338.3774	2687.6333	405.333	3476.6648	2390.2952	9373.193433761597
20	4956.3853	168.71405	5159.6523	4697.2407	6478.7363	73.2152	6610.102	6372.5693	1000.0	1000.0	100000	404.71252	125.13604	547.4191	129.59604	-407.23	16.144184	1276.9609	12.746258	1300.779	1262.5769	1415.7441	8.645301	1432.4124	1407.8573	2432.7075	23.795887	2469.175	2397.6313	2477.0913	20.808582	2511.1946	2448.1118	9957.889914035797
21	4016.2612	1830.8268	5065.667	367.88358	4183.4194	517.022	5066.973	3107.5073	1000.0	1000.0	105000	426.94754	130.13086	573.1847	136.95566	-429.8066	16.813135	1475.8967	333.9519	2125.5417	1222.5126	1604.9865	314.2701	2215.8257	1371.0421	2605.9575	303.098	3193.819	2364.1406	2653.0754	296.58228	3228.8843	2416.5396	10539.881956577301
22	4233.3506	1329.8134	5136.7407	1610.3975	6355.6846	50.584152	6425.9966	6285.8906	1000.0	1000.0	110000	447.20496	136.11823	597.0755	144.39043	-450.126	17.952776	1490.546	300.89645	2083.6492	1245.6029	1619.5208	280.09335	2171.918	1393.398	2619.4053	284.36197	3178.681	2381.2417	2667.7046	277.30084	3213.522	2437.7793	11116.531907558441
23	4990.055	429.1664	5506.0825	4228.5776	6724.7305	110.85358	6933.0537	6590.467	1000.0	1000.0	115000	466.98404	141.61703	617.83575	146.33455	-469.8849	19.582525	1379.0483	104.511154	1570.377	1278.3225	1515.2646	93.90279	1689.9124	1430.4994	2516.347	109.44433	2706.0083	2399.9177	2568.0789	106.022064	2753.6694	2454.3152	11690.6512196064
24	5253.783	82.10733	5356.737	5117.3677	6494.013	93.4625	6625.1445	6267.251	1000.0	1000.0	120000	487.79877	144.99422	646.9735	152.40776	-491.0093	20.338142	1374.5042	28.471392	1400.7885	1320.2166	1508.2565	24.37167	1527.6956	1463.5735	2519.9744	47.36612	2563.8027	2450.131	2568.6477	40.295074	2606.65	2504.369	12268.826410770416
25	5205.779	207.45103	5400.6274	4821.711	6737.117	680.5662	7037.528	4702.5806	1000.0	1000.0	125000	508.90793	145.15916	662.6115	160.4683	-511.6297	20.752537	1388.7018	26.359632	1410.9523	1340.0842	1513.5297	24.389637	1539.6003	1470.7673	2553.3564	37.228046	2614.978	2499.8013	2597.8843	33.45972	2649.3293	2545.2312	12841.040189504623
26	5236.815	180.1477	5503.4077	5010.9204	7167.0576	57.699486	7263.7334	7030.921	1000.0	1000.0	130000	529.1658	143.70808	679.0298	164.61298	-532.4054	21.815794	1444.0468	53.652405	1511.0663	1355.7028	1558.0424	44.870186	1603.3193	1475.1061	2625.8372	74.19413	2737.5205	2538.139	2667.77	67.94071	2766.9646	2577.8528	13415.072583913803
27	5319.529	91.28897	5409.257	5187.4077	6975.557	109.35221	7118.043	6758.3677	1000.0	1000.0	135000	548.71924	140.41034	694.25946	183.75314	-551.9704	22.08354	1420.4498	52.71064	1477.8411	1345.2314	1536.8868	52.512024	1591.9083	1473.3877	2601.487	52.884052	2655.1174	2500.97	2640.8071	49.83192	2693.27	2549.691	13986.238175868988
28	5343.6016	47.91758	5398.9917	5263.4917	7428.5283	127.13861	7679.6826	7193.501	1000.0	1000.0	140000	567.6869	135.20384	710.5528	188.26254	-571.146	22.265335	1393.9751	40.52776	1460.9677	1338.4663	1515.3768	37.59341	1579.9612	1468.2311	2570.2153	39.038113	2628.87	2508.9297	2609.1548	39.180893	2667.019	2546.5078	14559.406620979309
29	5566.31	123.14636	5767.6343	5421.506	5902.358	2780.3967	7588.4487	111.92225	1000.0	1000.0	145000	586.13367	129.29636	786.52075	234.70674	-589.4869	22.451616	1362.4672	66.679276	1481.4772	1289.2644	1489.9717	55.719296	1589.4897	1431.9664	2527.276	83.7246	2674.6091	2425.3906	2572.345	77.283905	2708.2847	2478.764	15133.945069551468
30	5547.868	160.21947	5735.5615	5354.594	7538.5547	90.16527	7661.858	7377.4385	1000.0	1000.0	150000	603.24414	124.109886	905.55945	242.49066	-606.694	23.18218	1394.1091	36.12946	1435.3065	1349.2397	1510.677	28.628183	1542.3844	1474.8861	2580.8115	53.197567	2650.948	2505.7625	2621.104	46.92859	2683.0283	2556.7944	15707.105495214462
31	5642.495	87.704765	5749.9727	5535.1074	7123.758	717.6661	7521.4062	5006.045	1000.0	1000.0	155000	618.3415	121.47572	977.80194	279.86435	-621.4069	24.262009	1420.0673	38.801105	1454.9685	1350.6735	1536.2582	34.31183	1567.4695	1478.6168	2602.4685	45.647053	2646.8289	2516.9993	2644.4973	43.53472	2683.264	2562.9258	16277.208147764206
32	5720.7646	204.16713	5858.2183	5314.3877	7292.952	103.87079	7454.75	7106.7344	1000.0	1000.0	160000	633.5874	118.781	1079.7795	297.59946	-636.9643	24.592043	1407.7725	24.301197	1447.5581	1377.3335	1531.5015	24.289684	1570.0863	1503.5618	2571.6155	23.876429	2605.9612	2532.1333	2617.61	21.677141	2650.8164	2582.4912	16849.806255102158
33	5682.6	122.7056	5887.2007	5566.429	7241.65	53.18577	7334.6465	7155.629	1000.0	1000.0	165000	648.479	117.14061	1190.5177	315.09848	-651.8962	25.860497	1449.6648	49.925632	1507.98	1366.6207	1567.3782	45.532284	1615.4163	1490.981	2620.35	56.739445	2696.865	2533.8298	2665.2585	52.636116	2734.004	2582.3413	17421.271552801132
34	5536.8896	233.82512	5898.8384	5234.0405	7464.669	65.31379	7559.9956	7395.6157	1000.0	1000.0	170000	664.63776	112.63816	1297.3079	331.85208	-668.61084	29.420206	1495.7224	52.32378	1582.6245	1424.9679	1620.4115	46.038235	1697.5465	1561.5232	2641.558	61.902184	2738.7493	2551.489	2690.8918	57.617584	2781.5503	2607.6843	17987.075716495514
35	4843.1514	1041.8386	5817.2705	3018.242	7287.0977	117.42998	7439.5576	7006.156	1000.0	1000.0	175000	681.82733	107.17367	1415.3027	371.8829	-685.5964	33.828266	1534.3141	151.68964	1791.2455	1362.5216	1670.3958	143.0562	1921.7219	1521.8828	2632.0344	137.19243	2830.8228	2444.4124	2687.6472	130.06618	2885.1626	2515.6304	18555.231227874756
36	3501.2527	2290.1392	5434.65	402.94223	7591.932	72.39899	7755.0083	7537.057	1000.0	1000.0	180000	697.2454	101.751465	1673.2312	422.6433	-701.3613	41.233612	1855.9795	401.73346	2379.6697	1467.4418	1955.1188	373.02896	2427.2817	1598.6423	2978.8801	376.99606	3519.77	2600.8667	3017.424	368.3381	3538.0867	2649.973	19124.300437688828
37	5068.5024	933.0239	5619.151	3209.7231	7150.264	67.46457	7266.2676	7064.1436	1000.0	1000.0	185000	712.4431	102.16195	1678.8195	459.32104	-716.10205	44.810326	1620.8025	250.92812	2100.1887	1434.0872	1735.3424	236.58827	2186.0134	1559.5887	2764.8232	225.09003	3196.454	2594.4932	2806.102	220.54114	3228.8909	2640.5293	19697.448758602142
38	5240.185	610.7959	5761.097	4056.6643	7551.7905	57.356342	7650.324	7450.5093	1000.0	1000.0	190000	723.9726	95.65117	1677.507	500.33035	-727.9969	44.90118	1594.1082	123.265205	1829.9711	1496.4424	1709.2963	111.922966	1927.1272	1626.9486	2742.622	125.54031	2971.179	2628.1345	2781.13	119.07943	3000.664	2672.6885	20265.126524686813
39	5752.762	229.42989	6079.659	5368.7236	7666.6865	54.175472	7743.459	7550.504	1000.0	1000.0	195000	734.04834	93.72467	1664.5472	532.1641	-737.82904	41.704742	1495.965	40.073277	1532.6124	1435.9927	1619.748	31.877443	1646.9926	1568.8035	2647.312	55.17036	2711.2234	2578.018	2687.523	49.770092	2743.0273	2619.6821	20835.81632375717
40	5844.8203	178.05891	6058.456	5577.187	7585.9033	60.11869	7749.1904	7527.2427	1000.0	1000.0	200000	743.8704	93.839096	1642.3652	530.5284	-747.99304	41.5538	1535.7903	70.37049	1641.0195	1425.1726	1647.8519	59.653275	1733.5663	1548.956	2711.7317	88.34711	2849.4487	2590.3042	2745.664	83.145645	2878.1094	2629.9524	21409.927001476288
41	4654.752	2095.2534	6022.312	512.0355	7781.5093	115.18765	7920.946	7517.663	1000.0	1000.0	205000	756.00446	96.088844	1715.0767	542.108	-760.1928	44.20991	1764.8933	468.96268	2691.9485	1444.6842	1867.7683	450.12195	2758.3901	1556.6936	2898.4172	392.54095	3669.5125	2613.0842	2933.602	394.56152	3709.6511	2654.514	21985.42012143135
42	5664.928	241.92325	5913.6084	5201.355	7317.621	138.71677	7662.3306	7086.24	1000.0	1000.0	210000	769.3982	103.31492	1719.3657	557.0821	-773.324	50.614532	1576.5233	73.80601	1710.5006	1484.6316	1679.018	64.4443	1797.6769	1602.2568	2765.272	84.60697	2911.1018	2656.0618	2796.6116	78.68755	2934.4631	2694.6863	22557.632204294205
43	4022.146	2035.7666	5764.813	648.8198	5124.5854	3729.3723	7941.545	-585.6373	1000.0	1000.0	215000	783.18256	109.32523	1901.2	575.09045	-787.4994	57.56763	2014.6959	405.60007	2697.9512	1652.2797	2092.5288	392.588	2756.0007	1743.7736	3151.377	324.54898	3687.8806	2855.08	3179.547	327.459	3720.4885	2879.267	23136.53390097618
44	-653.72156	174.07802	-461.65308	-918.04156	-641.4545	125.73606	-460.4659	-863.8891	1000.0	1000.0	220000	808.3199	138.22011	1931.6951	593.5582	-813.29425	81.10239	2474.0928	148.44495	2703.442	2239.855	2575.8867	134.24097	2782.5547	2367.9705	3382.2434	160.75798	3627.2537	3120.578	3460.6375	146.15295	3684.079	3222.9304	23707.07836675644
45	-484.46265	74.33208	-372.82877	-576.33093	-1116.1132	94.89472	-939.1981	-1243.7772	1000.0	1000.0	225000	872.6588	142.99074	1759.1826	665.8528	-884.6883	99.414185	2561.5269	168.23618	2769.339	2261.9976	2633.3748	148.49643	2828.75	2379.3772	3544.5715	198.592	3733.7153	3167.3499	3598.8457	178.15211	3777.7346	3260.8298	24244.90388584137
46	-703.8036	236.24586	-334.58588	-983.4832	-559.8773	103.77845	-397.57068	-828.8777	1000.0	1000.0	230000	970.96405	128.67828	1895.5028	689.1209	-981.2418	91.51502	2719.593	285.84073	3149.3684	2287.072	2791.9282	266.74957	3200.1794	2393.4421	3644.4062	269.72296	4023.5654	3219.2805	3697.9277	252.29916	4058.016	3302.9717	24613.55348086357
47	249.78694	1116.0095	2437.7585	-538.41455	6154.6777	845.3139	6617.411	3639.853	1000.0	1000.0	235000	989.0476	123.2051	1830.8015	712.5522	-992.8769	65.06272	2521.705	360.0649	3106.5674	2054.0532	2598.6206	338.07098	3141.716	2132.2302	3502.6238	340.50888	4057.6926	3131.147	3557.6875	320.45657	4082.6758	3209.6182	24982.917047977448
48	3676.825	2160.636	5603.6504	536.79224	2003.6045	1419.0367	4943.7476	47.334396	1000.0	1000.0	240000	967.18616	120.47996	2469.3943	698.8496	-970.5992	51.43796	1936.5485	660.85333	3098.9395	1428.48	2101.8015	592.372	3149.543	1642.4304	2806.834	685.2007	3994.3193	2277.959	2929.3372	631.3797	4028.5896	2450.1206	25354.005234241486
49	2894.497	2289.0515	5493.1797	290.9771	702.9066	767.17975	1984.5284	-542.8098	1000.0	1000.0	245000	950.05505	135.47926	2632.5742	686.6718	-953.3093	49.914494	2207.1948	571.04834	2865.0713	1537.1344	2330.33	526.27563	2934.3564	1725.5826	3135.4912	537.2402	3761.7234	2468.3193	3218.9282	508.52158	3809.9514	2596.3645	25723.362699747086
50	4776.7437	1152.4034	5627.394	2490.4143	7398.1045	83.45053	7506.2915	7277.1626	1000.0	1000.0	250000	929.7526	127.29845	2296.46	671.6745	-933.0986	45.24249	1815.2507	365.59937	2543.0674	1586.1489	1958.7903	340.53717	2637.0786	1750.6097	2805.6343	333.3853	3467.1812	2575.819	2899.7246	316.96292	3529.5735	2690.1406	26094.34489274025
51	3993.7559	2315.0461	5989.0527	84.7052	7053.655	2041.3724	7845.3345	934.26355	1000.0	1000.0	255000	911.85547	114.700066	2109.6143	675.4438	-915.6218	40.054752	2031.4459	593.7736	3054.488	1554.5564	2152.3748	548.0581	3101.1018	1721.2178	3026.5864	561.80347	3979.6113	2548.944	3105.5142	532.8972	4012.3794	2658.3616	26461.15952897072
52	3654.2075	2137.2207	6136.8833	478.8985	7879.2383	92.46958	8021.748	7748.5635	1000.0	1000.0	260000	894.2454	98.00693	1858.1304	563.2857	-897.5968	33.361538	2115.6995	419.30658	2742.3206	1636.0394	2223.7437	384.4861	2802.6492	1786.4203	3127.377	398.96622	3708.92	2664.7622	3195.9937	377.41565	3749.2065	2757.6504	26835.21914076805
53	3834.8313	2337.0417	6032.418	708.14594	7986.7725	56.30182	8097.5063	7908.0586	1000.0	1000.0	265000	876.4915	91.08898	1632.6814	443.9032	-879.567	30.897776	2264.3813	761.05316	3221.62	1607.0277	2374.808	710.3728	3272.0103	1764.2269	3226.548	693.15985	4076.326	2615.6226	3298.216	659.99994	4106.6787	2716.2363	27206.662636995316
54	2925.2507	1907.1554	5876.4062	720.35876	7846.91	74.1184	7942.463	7722.257	1000.0	1000.0	270000	856.7654	91.482475	1462.2958	373.0727	-859.7652	31.738775	2197.7566	371.48666	2693.155	1584.8715	2306.2234	342.49136	2764.6824	1738.4207	3178.893	350.2575	3634.3118	2607.7998	3250.6716	332.89774	3685.0435	2705.2864	27578.429703950882
55	3354.7954	2238.9927	5850.915	40.87466	7646.7344	53.803856	7719.8755	7517.919	1000.0	1000.0	275000	837.83453	97.281006	1285.168	351.88824	-840.6834	30.679287	2163.3384	544.895	2933.3735	1568.89	2276.646	503.59525	3006.4941	1726.3179	3143.669	509.71368	3801.2253	2588.306	3217.584	481.89902	3847.5608	2691.3064	27950.629586219788
56	3817.6296	2267.6208	6002.882	118.76864	8012.509	126.2023	8186.535	7707.8965	1000.0	1000.0	280000	817.77325	110.19575	1169.0581	358.30673	-820.5869	28.152338	1965.7848	432.41342	2492.6301	1538.3667	2089.709	393.17075	2580.6313	1709.3159	2970.669	427.27878	3514.0757	2522.0137	3049.5278	402.31937	3555.0947	2633.5198	28319.122655153275
57	5797.368	141.17151	6014.7793	5631.563	7817.362	92.25157	7998.9604	7625.634	1000.0	1000.0	285000	800.47784	126.44346	1018.64966	297.6384	-803.3244	30.122766	1592.7714	37.334045	1626.7457	1521.0587	1755.8884	37.050053	1783.5638	1683.4276	2591.3418	33.123245	2634.633	2540.5503	2695.4563	33.001705	2734.9902	2638.5676	28685.486332416534
58	5638.19	125.38591	5748.8623	5397.4395	8074.357	89.20092	8242.698	7950.6724	1000.0	1000.0	290000	786.7099	142.3799	943.7002	286.02057	-789.6069	28.624687	1688.7253	32.093098	1747.0834	1650.8281	1834.653	29.030285	1883.6466	1794.1708	2716.469	36.901615	2789.0881	2690.4202	2809.0298	32.709984	2873.4905	2787.4937	29053.330097436905
