Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-258.22626	41.901333	-220.89519	-339.81073	0.0	0.0	0.0	0.0	-779.59753	8.196208	-767.1313	-792.71954	1000.0	1000.0	5000	1.4443123	3.2812703	22.457026	-4.3156476	-2.3170948	0.21525651	33.21909999847412
2	-216.34799	48.319683	-144.78833	-278.79926	0.0	0.0	0.0	0.0	-498.6788	20.242706	-471.3589	-536.7378	1000.0	1000.0	10000	15.025439	9.1879835	48.509037	-2.749692	-16.893005	0.93818516	67.43212890625
3	-95.53497	1.8551792	-92.837555	-98.34535	30.753153	12.145327	53.033062	18.572803	-375.64227	20.461678	-331.85468	-408.68033	1000.0	1000.0	15000	32.94239	13.291082	68.71675	4.776654	-34.856155	1.1093478	164.6020724773407
4	-83.512985	22.507462	-38.732304	-98.82571	92.90542	14.544655	111.73302	73.114075	-432.92743	35.76656	-367.48456	-483.49805	1000.0	1000.0	20000	50.53956	13.505812	82.83486	11.05615	-52.696724	1.0772196	260.0360276699066
5	-99.36692	1.5712203	-96.881424	-100.913635	168.06918	36.064228	222.57364	124.99389	-572.5011	84.295944	-453.05954	-726.08124	1000.0	1000.0	25000	69.064705	11.9190855	100.28262	28.443493	-71.66236	0.999527	354.5372357368469
6	-96.11603	6.3138447	-83.54453	-99.94006	81.40233	23.540789	121.57846	52.315422	-475.62085	25.227997	-438.35803	-513.62585	1000.0	1000.0	30000	89.39668	9.454257	117.34938	50.75387	-92.348816	0.9585916	449.1817116737366
7	-33.348774	96.78722	150.20847	-100.96163	199.53975	115.22881	389.48767	84.299446	-402.87564	52.324234	-319.6095	-471.13367	1000.0	1000.0	35000	112.55044	8.710457	143.68668	81.11891	-116.43086	1.2293259	543.7938847541809
8	-93.98418	4.556667	-86.94235	-99.21418	104.77751	121.41633	339.0013	13.23253	-323.68475	56.981056	-238.1001	-466.97302	1000.0	1000.0	40000	145.2237	12.013238	207.82086	108.39981	-150.4831	1.6345459	639.1767830848694
9	-94.71193	3.7126205	-90.66384	-100.060905	176.98459	134.4646	339.24423	39.399284	-310.35837	45.63533	-227.9462	-383.33804	1000.0	1000.0	45000	194.5861	18.626835	274.92395	147.13118	-202.11504	2.4641597	733.9113688468933
10	156.59099	208.84982	425.13757	-99.05198	261.11328	174.47299	417.28714	8.4894085	-428.94513	33.197403	-363.16873	-484.67584	1000.0	1000.0	50000	249.38112	17.632624	338.85175	198.33072	-256.9733	3.051712	829.3893520832062
11	30.49729	345.88187	334.9793	-644.3733	446.2674	28.817425	482.135	417.82327	-536.8265	201.23357	-293.72324	-897.18945	1000.0	1000.0	55000	300.08752	18.276363	414.3294	247.8278	-308.12646	3.723634	924.5311784744263
12	-261.29053	338.1781	129.61038	-670.5444	423.5414	55.90392	493.7547	363.8046	-345.56952	126.98479	-48.38705	-536.5577	1000.0	1000.0	60000	343.95425	22.185492	497.57022	294.4105	-352.10516	4.056566	1023.3359177112579
13	239.1121	320.28702	721.7394	-101.19268	399.1473	76.222496	500.0476	315.40717	-481.41153	54.91845	-409.12827	-588.363	1000.0	1000.0	65000	397.35693	30.784622	598.48975	340.56143	-408.0671	6.1908298	1119.8406872749329
