Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-247.57922	54.29255	-206.83218	-352.56958	-482.94135	99.08457	-281.72513	-692.74225	1000.0	1000.0	5000	0.2631229	2.187084	14.722934	-5.084018	0.26484013	2.1831582	15.113868	-7.115473	-1.1465133	0.30867574	47.834941148757935
2	-290.12726	112.02084	-148.3229	-487.35526	-168.34917	138.06287	117.09956	-363.86716	1000.0	1000.0	10000	9.467694	7.0951424	39.525497	-3.9364808	9.467711	7.0968	40.169697	-3.529318	-11.84402	1.2541726	104.10580897331238
3	-241.26724	152.03677	-22.190773	-488.14178	-123.13385	165.05656	223.28358	-395.6124	1000.0	1000.0	15000	20.248232	10.142106	53.908394	1.1284457	20.248314	10.142456	53.204704	0.7909534	-21.72918	2.4978812	164.602548122406
4	638.6134	657.6456	1550.4327	-96.95615	1357.8555	719.2692	1874.0066	-586.5134	1000.0	1000.0	20000	21.341888	12.598391	70.23837	-0.85193586	21.341562	12.598017	69.083664	-0.10507536	-22.344248	2.8489673	224.25248408317566
5	1741.0153	407.71622	2177.9973	1089.5631	2400.073	178.90768	2733.3042	2115.7346	1000.0	1000.0	25000	30.44744	19.33793	99.35996	-1.6867859	30.446869	19.337908	96.50219	-1.3788284	-31.797903	4.0937076	274.96749782562256
6	2558.184	415.3035	3104.0132	1882.386	3004.034	123.335014	3199.2485	2814.0298	1000.0	1000.0	30000	44.881153	28.717297	129.38033	-0.3628813	44.880653	28.7176	128.77483	-0.06855798	-46.423573	6.5169864	322.0477862358093
7	3234.7454	381.0289	3747.6362	2667.1394	2709.168	1116.9818	3650.0957	618.0198	1000.0	1000.0	35000	63.760918	38.93871	163.44867	-1.1287451	63.760044	38.93953	164.13972	0.2885226	-65.67501	9.778905	371.2855010032654
8	2926.5608	914.61475	3825.8135	1181.8859	3358.7488	954.36426	3998.4072	731.88336	1000.0	1000.0	40000	83.16096	49.146454	194.59207	0.8457335	83.16006	49.146046	193.94862	0.2674886	-85.42925	14.0192175	419.9015440940857
9	3652.6985	536.67645	4121.7617	2629.9258	4104.487	129.82367	4387.1113	3903.1404	1000.0	1000.0	45000	103.56726	59.324566	227.19705	-1.8009806	103.56712	59.32464	228.76657	-1.5309759	-105.80623	18.395996	469.5605549812317
10	4066.116	90.69898	4162.834	3940.8586	4096.6655	290.8478	4350.335	3303.485	1000.0	1000.0	50000	125.12855	68.18639	249.58904	-5.7142153	125.127045	68.18839	247.22075	-5.1072392	-127.445274	20.07157	518.1443932056427
11	3997.6296	99.519325	4121.3535	3859.1738	4230.116	99.7561	4382.35	4050.9658	1000.0	1000.0	55000	145.73343	74.897865	266.6766	-7.1477804	145.73192	74.90036	267.53598	-6.486599	-148.05777	20.903528	566.3675758838654
