Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-271.46497	52.924976	-208.22224	-366.85602	-552.6887	13.626997	-528.75684	-570.69244	1000.0	1000.0	5000	1.6303352	3.054274	21.759178	-11.808499	-2.370259	0.7073647	42.06759023666382
2	-358.56406	57.72438	-260.33524	-436.12225	-585.2204	6.2272196	-573.37354	-594.73145	1000.0	1000.0	10000	15.837134	12.375165	47.689384	-17.884092	-16.380972	4.71313	83.18406701087952
3	-402.2571	185.04518	-65.98861	-552.49493	-386.8166	40.790176	-344.4126	-477.62173	1000.0	1000.0	15000	44.065807	27.966444	106.47355	-159.07103	-44.658176	18.4241	128.13822197914124
4	-204.10254	136.51303	-7.420927	-359.16736	-336.07007	50.301914	-254.91891	-434.2879	1000.0	1000.0	20000	130.54733	72.90023	298.20963	-193.31027	-131.92853	93.38498	172.98820805549622
5	-346.14587	184.3096	-78.43707	-567.5448	-39.490845	246.91975	284.03305	-623.7937	1000.0	1000.0	25000	383.079	216.53845	907.04913	-487.22455	-386.0788	806.5808	217.80065512657166
6	-262.85712	190.65254	10.77336	-514.9579	-495.9415	82.456924	-355.04004	-571.1005	1000.0	1000.0	30000	1188.8523	673.76373	2691.9424	-1540.0925	-1192.73	6834.227	262.66248321533203
7	-436.3589	68.02245	-355.582	-536.3942	-169.9415	28.175486	-113.287315	-210.38086	1000.0	1000.0	35000	3740.1245	2180.6785	8583.479	-4554.3604	-3772.6409	71750.56	307.68715620040894
8	-387.6449	126.35867	-183.13686	-539.4143	-591.1959	2.4759448	-586.76715	-595.3063	1000.0	1000.0	40000	12518.821	7126.4976	28655.242	-12956.193	-12677.18	839631.3	352.7471401691437
9	-479.8421	98.0302	-317.85266	-606.8416	-327.30743	40.72143	-247.92352	-406.03848	1000.0	1000.0	45000	41840.39	22662.82	96264.125	-43424.6	-42380.26	9856228.0	399.6449372768402
10	-426.5087	78.86986	-276.90988	-500.08157	-539.5217	17.037504	-510.69586	-572.6615	1000.0	1000.0	50000	143423.33	74329.72	338940.38	-105939.87	-146170.14	145221340.0	445.47340202331543
11	-411.78424	75.29021	-315.02087	-507.61215	-383.90802	29.437567	-341.2168	-443.9517	1000.0	1000.0	55000	517980.78	225480.77	1184447.4	-145094.16	-529464.94	1822311000.0	493.41527009010315
12	-506.23868	35.790195	-437.70413	-537.8322	-541.6358	7.569573	-530.6402	-551.1572	1000.0	1000.0	60000	1883088.9	730093.44	4820229.0	-16534.809	-1927306.5	28305340000.0	548.1740970611572
