Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-303.03836	83.54431	-186.01067	-400.45847	-3.7666428	0.8462422	-2.4640784	-5.2000747	1000.0	1000.0	5000	2.945891	3.5603058	22.222979	-12.302661	-4.118081	0.24746823	196.05138564109802
2	-280.70908	86.10722	-135.74054	-391.89438	-65.2109	1.7948179	-62.53189	-68.12265	1000.0	1000.0	10000	21.248148	17.563223	70.68777	-9.540061	-25.458963	1.7290244	388.13021063804626
3	-95.82289	15.06059	-66.42234	-107.272804	-83.595764	5.555725	-74.3689	-91.85111	1000.0	1000.0	15000	77.27353	29.103867	133.21066	1.4582992	-83.97359	3.178992	645.2777643203735
4	-92.55647	13.509691	-67.48361	-103.58455	-103.15996	2.428847	-101.15257	-108.35351	1000.0	1000.0	20000	141.07788	28.682962	195.25896	36.32305	-148.7024	3.704358	899.6919839382172
5	-120.979324	26.135094	-101.458336	-168.86076	-101.283806	0.62625176	-100.11849	-102.23718	1000.0	1000.0	25000	199.88861	23.818878	257.92813	100.897896	-207.98114	3.539549	1153.8115904331207
6	-93.870094	12.959569	-68.10109	-101.53919	-101.86638	0.5969457	-100.84482	-102.90755	1000.0	1000.0	30000	274.734	25.9284	341.07446	173.61427	-285.0739	4.082993	1414.1308999061584
7	-98.75258	5.283218	-88.19161	-101.70516	-102.08468	0.7616832	-100.845184	-103.46037	1000.0	1000.0	35000	342.9017	21.476048	407.16574	255.4533	-353.21796	4.286763	1675.3692502975464
8	-101.374115	0.9315453	-99.73874	-102.12808	-101.65203	0.9633008	-100.296814	-103.00062	1000.0	1000.0	40000	397.64	12.989349	453.28598	345.37796	-406.12015	3.4615953	1961.9928410053253
9	-101.32335	0.5711637	-100.35644	-102.15027	-101.346886	0.63370436	-100.48221	-102.35306	1000.0	1000.0	45000	432.86603	12.92766	486.6189	392.93054	-441.7846	3.3616989	2226.2268080711365
10	-101.39595	0.42902082	-100.808495	-101.813644	-101.655975	0.7582408	-99.515625	-102.300735	1000.0	1000.0	50000	479.81335	16.145285	527.14215	422.8459	-490.2622	3.7523146	2496.0309612751007
