Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
26	5621.1865	107.76015	5747.24	5459.0894	6032.733	69.63107	6120.6567	5886.8706	1000.0	1000.0	130000	360.87195	125.87314	471.44473	1.6434467	360.87146	125.872734	470.12732	-0.19448352	-362.98734	35.187572	1414.352391242981
27	5714.5073	59.97394	5790.3345	5607.158	6095.781	72.38491	6279.1953	6022.4917	1000.0	1000.0	135000	367.3068	126.402885	476.63794	-14.565371	367.30643	126.39992	475.39288	-22.091715	-369.7057	35.16366	1466.2680082321167
28	5779.2046	120.72722	5911.691	5565.9165	6083.3906	87.11909	6247.226	5957.6987	1000.0	1000.0	140000	374.4404	125.70433	482.13354	-22.519747	374.43958	125.702705	480.42322	-22.926018	-376.94913	34.532482	1518.935636997223
29	5760.7764	101.06852	5903.188	5608.057	6233.057	75.31618	6359.886	6145.329	1000.0	1000.0	145000	380.6589	125.913376	487.27933	-31.229515	380.6588	125.910446	484.7046	-22.671556	-382.68536	35.31325	1570.6231231689453
30	5861.403	84.65722	5997.337	5749.2764	6019.8926	117.18563	6208.0825	5863.6973	1000.0	1000.0	150000	386.93362	125.83586	493.03036	-17.116062	386.93317	125.83423	489.59674	-20.741823	-389.32785	35.27941	1622.3462221622467
31	5824.4683	175.93445	6107.262	5588.8696	6012.2036	46.664482	6111.964	5949.9775	1000.0	1000.0	155000	392.91302	125.681786	496.73413	-17.06858	392.91257	125.67984	497.33972	-25.453632	-395.12585	35.59087	1673.8654351234436
32	5844.6743	173.39427	6098.653	5634.555	6324.595	67.104996	6411.52	6185.002	1000.0	1000.0	160000	398.5454	125.46643	501.90033	-27.196903	398.54517	125.464554	501.6596	-15.478509	-400.55975	34.513958	1725.5347061157227
33	5964.669	172.99477	6233.8374	5696.442	6413.2627	87.167625	6610.751	6316.3735	1000.0	1000.0	165000	404.02365	125.1206	503.86502	-14.217453	404.0225	125.11912	503.0152	-25.646545	-406.10516	34.645782	1777.1932141780853
34	5984.6904	46.47383	6037.1084	5916.4478	6308.3843	74.21574	6465.735	6206.6924	1000.0	1000.0	170000	408.85062	125.3461	507.75223	-29.65704	408.85022	125.34356	509.0941	-35.85769	-410.68472	34.058987	1829.0120282173157
35	6054.5	123.2121	6241.5786	5937.817	6231.1333	88.40562	6400.1924	6069.5435	1000.0	1000.0	175000	414.08716	124.85116	511.84082	-23.626604	414.08646	124.84952	512.334	-22.091513	-416.37604	34.092514	1880.8858711719513
36	5942.2295	136.20387	6192.1045	5808.5654	6272.5234	74.68736	6366.7515	6118.2935	1000.0	1000.0	180000	418.53928	125.168594	516.6188	-21.65266	418.53867	125.16672	516.2208	-39.33376	-420.7349	33.77322	1932.9153530597687
37	5984.64	148.66153	6223.3486	5801.996	6008.689	111.749886	6261.1714	5852.32	1000.0	1000.0	185000	423.2304	124.27498	516.9186	-42.64918	423.22964	124.2734	518.88525	-61.159847	-425.5797	33.40474	1984.8784229755402
38	5898.627	143.18228	6138.0356	5727.7754	6461.2114	142.23561	6647.766	6179.7397	1000.0	1000.0	190000	427.25436	123.86836	521.79065	-16.35024	427.25394	123.86666	521.7036	-17.955019	-429.5473	33.638344	2036.8982031345367
39	6178.0967	38.63751	6251.937	6139.5264	6481.108	111.74524	6750.5938	6322.729	1000.0	1000.0	195000	431.28192	123.54684	523.23926	-21.914877	431.28146	123.54403	523.0573	-38.12965	-433.3802	33.275757	2088.779051065445
40	6012.1714	84.235664	6089.0483	5852.3433	6366.164	68.504486	6444.128	6194.8286	1000.0	1000.0	200000	435.8962	122.223694	530.30884	-24.57322	435.89578	122.22156	526.46545	-24.202953	-437.8418	32.18669	2140.7391171455383
41	6094.013	120.203766	6217.5596	5891.1733	6497.4443	113.64813	6705.001	6252.083	1000.0	1000.0	205000	439.93375	121.814125	533.1988	-20.01078	439.9339	121.81098	531.20905	-13.634535	-442.28754	31.611612	2193.169070005417
42	6054.3003	130.81093	6275.8267	5901.0103	6521.8145	115.90256	6733.3784	6331.0215	1000.0	1000.0	210000	444.38007	120.31612	532.86206	-15.099861	444.37952	120.314095	533.0813	-42.586014	-446.38516	32.277653	2245.368640899658
43	6186.651	53.53368	6238.241	6106.1025	6516.3804	82.29741	6680.1743	6391.524	1000.0	1000.0	215000	447.99585	119.998566	535.9534	-11.707978	447.99527	119.9973	536.1725	-10.26428	-449.9119	31.60065	2297.5093240737915
44	6032.63	320.18558	6287.405	5400.4976	6425.7373	204.12778	6755.2544	6049.342	1000.0	1000.0	220000	451.1727	120.15571	539.4092	-37.569843	451.17288	120.15238	538.26984	-30.808434	-453.1032	32.00898	2349.626435995102
45	5567.767	1215.4017	6343.929	3144.1133	6289.818	93.54624	6473.862	6153.412	1000.0	1000.0	225000	454.32947	120.19223	541.68567	-30.023897	454.32895	120.18989	542.1322	-16.368145	-456.3097	32.869656	2401.7380032539368
46	6218.504	154.89789	6324.129	5914.2354	6401.419	89.51681	6532.387	6236.0425	1000.0	1000.0	230000	457.24774	120.28444	544.19543	-15.315501	457.24774	120.280045	546.1466	-32.041203	-459.13385	33.73263	2453.824769973755
47	6240.3345	115.18688	6414.0093	6063.4536	6448.5312	120.54098	6712.2495	6259.507	1000.0	1000.0	235000	460.55862	120.22918	547.6779	-27.650051	460.55865	120.22558	548.92096	-18.143904	-462.36	33.20338	2507.7769770622253
48	6307.2764	57.91733	6363.9116	6200.4243	6722.663	77.92381	6912.3823	6649.9565	1000.0	1000.0	240000	463.74213	119.93027	550.63794	-19.704716	463.74176	119.928185	551.0912	-23.40783	-465.4913	33.367107	2560.2314159870148
49	6248.7104	198.82964	6527.5693	5930.952	6669.3193	84.263054	6837.7456	6583.3105	1000.0	1000.0	245000	466.71045	119.343666	553.42865	-34.42282	466.71057	119.33956	553.6447	-34.638763	-468.4873	35.101746	2615.196422100067
50	6333.4414	170.30087	6595.5557	6189.462	6692.9873	97.729126	6827.99	6546.6924	1000.0	1000.0	250000	469.52887	118.95815	557.8763	-41.901882	469.52847	118.95637	555.8478	-22.7004	-471.3951	35.570023	2670.6047999858856
51	6281.382	222.90439	6530.698	5868.319	6930.319	106.53825	7074.5195	6777.9106	1000.0	1000.0	255000	472.278	118.823494	555.90015	-50.369846	472.27805	118.81993	556.27954	-28.994846	-474.3626	35.794994	2728.5750620365143
52	6293.1636	137.81323	6467.896	6104.269	6966.4414	77.15826	7113.074	6836.3604	1000.0	1000.0	260000	475.08856	117.89511	559.3093	-48.615963	475.08914	117.890945	561.65125	-59.79343	-476.9046	35.551083	2785.4446601867676
