Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
25	3931.4204	1270.5596	4899.199	1433.1554	4788.6284	130.64505	5061.3657	4574.481	1000.0	1000.0	125000	209.92793	127.16861	377.0816	-80.97953	209.92746	127.16965	378.56747	-79.91242	-212.09285	60.84975	1227.9993786811829
26	4524.257	409.4694	5056.009	3829.9548	3307.396	1448.1031	4431.671	593.2489	1000.0	1000.0	130000	217.53194	129.72182	385.3946	-85.22684	217.53174	129.7232	386.36713	-80.47987	-219.59778	65.04402	1278.2445950508118
27	4038.692	1171.4865	4914.027	1725.2102	4429.372	902.6599	5021.813	1865.4435	1000.0	1000.0	135000	225.26016	131.61928	391.8084	-87.49419	225.26012	131.61935	393.8917	-85.099686	-227.50604	67.30794	1327.9294068813324
28	4597.315	317.39258	4980.6245	4116.263	4734.2085	599.52673	5101.846	2963.8447	1000.0	1000.0	140000	232.00877	133.71516	399.6853	-95.45728	232.00879	133.71559	398.88562	-97.24741	-233.803	68.55142	1377.7027916908264
29	4463.35	394.8258	4918.2183	3814.649	4805.6426	104.79154	5003.9414	4650.622	1000.0	1000.0	145000	238.88814	134.95955	398.08194	-97.782074	238.88792	134.95917	399.32962	-95.88054	-240.6881	71.28275	1425.6417899131775
30	4700.536	92.7416	4872.919	4621.085	4028.4219	1413.213	4876.8433	-139.68245	1000.0	1000.0	150000	245.89203	135.59111	402.06262	-97.69179	245.89185	135.59137	402.5785	-98.405945	-247.8212	70.79095	1479.9419159889221
31	2817.5576	2139.224	4642.5903	-128.05309	4585.6416	838.6514	5144.2485	2204.1746	1000.0	1000.0	155000	249.2624	138.12984	405.85724	-99.05021	249.26244	138.129	405.0102	-101.54923	-251.27325	68.971634	1532.244614124298
32	4655.452	388.5311	5083.423	3951.6794	4898.232	113.6476	5088.0884	4720.112	1000.0	1000.0	160000	253.515	139.56334	406.28705	-117.64042	253.51517	139.56258	406.61606	-119.90396	-255.78165	70.57863	1583.1844973564148
33	4667.7295	600.74255	5022.3276	3469.38	5110.669	82.85538	5226.1143	4995.673	1000.0	1000.0	165000	259.66602	140.12534	410.39072	-119.45416	259.66544	140.126	408.0604	-121.85312	-262.06555	71.342415	1637.579482793808
34	4907.0234	152.23553	5077.6323	4677.92	5112.1714	100.94379	5253.1724	4902.7007	1000.0	1000.0	170000	265.0355	140.51566	410.49207	-119.19531	265.03503	140.51569	413.41776	-122.85811	-266.672	68.93603	1691.008816242218
35	4342.358	1175.0636	5028.954	1996.3516	4605.1987	978.7436	5135.2856	1697.1278	1000.0	1000.0	175000	269.63977	141.05725	415.80258	-123.59026	269.63953	141.05731	418.89862	-117.37581	-271.71255	67.99342	1742.5207059383392
36	4959.2905	74.33498	5046.7817	4830.747	5207.0996	42.017937	5296.012	5162.768	1000.0	1000.0	180000	273.7942	141.6069	414.33487	-117.182724	273.794	141.60524	414.60434	-113.45087	-276.0602	68.70798	1796.2726385593414
37	4921.718	182.64789	5091.203	4677.532	5460.549	122.402245	5617.63	5204.12	1000.0	1000.0	185000	278.8163	141.48737	420.01068	-115.93061	278.8154	141.48642	421.6071	-118.08017	-281.24695	68.45265	1848.1482498645782
38	5058.536	167.81372	5269.8354	4788.8403	4985.5195	83.57662	5128.854	4828.753	1000.0	1000.0	190000	283.3781	141.32625	420.56525	-120.26648	283.37756	141.32512	421.8728	-121.83478	-285.47095	66.24928	1899.216513633728
39	4920.1104	107.03252	5038.6587	4720.786	5516.491	134.01286	5653.633	5226.0454	1000.0	1000.0	195000	288.2896	140.52852	421.7785	-119.12852	288.28946	140.52606	419.53168	-122.19185	-290.2422	64.70426	1955.6179745197296
40	5138.2637	84.4859	5231.071	5007.37	5469.96	73.90711	5595.6206	5368.5596	1000.0	1000.0	200000	292.82126	139.90399	424.58344	-119.03617	292.8209	139.90228	425.1149	-122.875305	-294.946	66.26572	2012.8788843154907
41	5192.7295	8.113525	5206.6494	5182.006	4624.126	1129.6829	5320.2866	1283.0433	1000.0	1000.0	205000	297.55325	138.98474	426.47903	-112.167595	297.5532	138.9824	427.55908	-121.80051	-299.9291	62.523907	2068.2338483333588
42	5121.8174	159.33662	5321.1953	4837.411	5307.3696	67.344536	5409.351	5193.5156	1000.0	1000.0	210000	301.8538	138.27011	428.5797	-111.05637	301.854	138.26823	430.90005	-102.17269	-303.85782	63.3196	2126.0712394714355
43	5067.794	148.42912	5197.443	4784.014	5603.073	79.484055	5721.4844	5500.702	1000.0	1000.0	215000	306.18063	137.10866	428.83014	-107.97797	306.18	137.10776	432.12866	-96.71869	-307.8905	60.178463	2183.1646769046783
44	5181.8965	150.69852	5379.641	5027.7593	5484.9917	77.61517	5630.933	5342.55	1000.0	1000.0	220000	309.8679	136.67426	433.00037	-100.41725	309.8681	136.67247	432.78802	-104.62539	-311.2952	59.80625	2238.90638256073
45	5142.3296	118.371544	5295.76	4973.5093	5546.196	86.93072	5661.9575	5408.316	1000.0	1000.0	225000	313.37363	136.35681	434.33368	-104.189476	313.37375	136.35466	435.5654	-111.52513	-315.35434	59.940914	2295.86079287529
