Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-311.68802	64.030594	-204.11032	-371.54956	-605.59485	3.5034275	-595.5707	-608.03674	1000.0	1000.0	5000	1.544519	2.5994256	14.392191	-10.890958	1.5449435	2.5971906	14.717179	-10.793372	-2.3807123	0.37358215	43.22552013397217
2	-271.70413	79.32724	-173.76115	-356.55972	-579.27765	21.964687	-543.15955	-625.22394	1000.0	1000.0	10000	6.559463	5.657398	34.090706	-14.251125	6.5588846	5.6552067	34.31393	-14.157984	-8.189619	0.9913993	88.4193983078003
3	-461.99307	150.80801	-247.57559	-641.29517	-74.0399	226.0657	276.20966	-528.99536	1000.0	1000.0	15000	13.940344	9.368177	55.542583	-13.119632	13.940196	9.366723	55.36637	-12.142665	-16.107655	2.4641736	128.390869140625
4	610.44	705.32996	1430.7764	-347.1472	145.67302	583.548	1191.5962	-444.46735	1000.0	1000.0	20000	20.032782	14.355375	69.18514	-11.63657	20.032625	14.353672	68.96923	-10.9645815	-21.972404	2.7800045	168.27357697486877
5	1050.0817	711.844	1965.9042	187.82121	1685.9283	785.6736	2447.5857	508.34976	1000.0	1000.0	25000	28.77276	20.419987	90.02109	-9.650704	28.772331	20.419207	89.99227	-8.822624	-30.439016	3.9323754	207.54743194580078
6	2672.8044	268.09073	3107.5334	2356.316	2822.213	233.9239	3060.387	2217.0645	1000.0	1000.0	30000	42.88514	30.37573	115.36489	-10.135682	42.884518	30.375422	116.34468	-10.374525	-44.9087	5.7047734	246.47891926765442
7	2888.95	196.96799	3138.424	2596.1736	3293.2207	55.722294	3400.4534	3233.2292	1000.0	1000.0	35000	62.87441	39.43047	141.1688	-11.6737585	62.873917	39.43068	140.91557	-11.173492	-65.00383	7.7715883	284.86891508102417
8	3314.4407	77.66598	3410.1167	3184.7642	3706.7383	73.38706	3845.2458	3618.591	1000.0	1000.0	40000	84.3109	47.656017	165.84549	-12.92954	84.31066	47.65655	165.9724	-11.196261	-86.48213	9.649418	322.2414391040802
9	3509.1406	88.365814	3631.4275	3405.7126	3718.4817	323.63898	4088.5918	2950.6711	1000.0	1000.0	45000	105.78251	54.411697	190.6845	-13.544395	105.78201	54.41271	192.45001	-13.631281	-108.03573	11.396906	360.34579825401306
10	3823.1333	198.8982	4163.6875	3586.126	4239.8564	135.8443	4549.0146	4044.553	1000.0	1000.0	50000	127.09942	59.69928	218.06024	-9.945612	127.098976	59.699818	219.58919	-9.820819	-129.41783	13.137884	399.7915053367615
11	3983.9146	102.05853	4076.1228	3788.1943	4115.107	230.53654	4367.799	3620.621	1000.0	1000.0	55000	148.17917	64.2484	244.38206	-7.0159287	148.17921	64.2485	244.61769	-8.110159	-150.6917	14.364967	439.03103017807007
12	4052.3953	300.4291	4373.713	3629.4424	4224.3477	851.2676	4674.854	1701.7793	1000.0	1000.0	60000	168.47173	67.741776	274.46872	-2.1858573	168.4716	67.74211	273.55222	-0.17949176	-171.0299	17.743353	477.38240909576416
13	4329.2217	164.60036	4580.139	4118.0273	3037.2222	1616.0945	4629.18	586.5416	1000.0	1000.0	65000	187.61247	71.72024	292.72244	2.169816	187.61244	71.7201	289.02542	1.3392136	-190.06328	20.28745	515.1787111759186
14	3670.8145	1881.4137	4755.9185	-83.00085	3755.475	1234.8906	4609.922	1035.2979	1000.0	1000.0	70000	202.18646	79.60038	312.1912	-30.4055	202.18628	79.600525	315.05133	-29.973248	-204.57452	22.394976	553.1049091815948
15	4327.84	266.67844	4575.559	3816.0603	4845.587	91.871346	5024.8867	4696.049	1000.0	1000.0	75000	218.4695	85.88995	335.10037	-49.020756	218.46997	85.889755	335.65167	-47.87299	-221.0468	25.500929	605.3794372081757
16	4793.9507	212.43756	5047.685	4425.824	4509.2803	218.29625	4847.585	4074.1875	1000.0	1000.0	80000	234.0276	91.36589	347.48645	-59.88881	234.02834	91.36454	348.62283	-60.156807	-236.27483	27.076912	695.5034301280975
17	4951.499	358.1878	5331.917	4511.459	5212.073	90.78278	5378.9614	5089.134	1000.0	1000.0	85000	249.24855	95.86864	366.70663	-65.45727	249.24936	95.86712	366.21072	-85.821976	-251.88495	28.416756	806.2802631855011
18	5175.768	176.74979	5395.8516	4886.073	4999.331	662.356	5488.776	3054.3003	1000.0	1000.0	90000	264.9488	99.2796	380.4826	-60.60285	264.9496	99.27651	378.5686	-57.80269	-267.68225	28.565266	897.3027310371399
19	5295.082	240.71376	5566.2734	4924.5396	6003.2886	100.36239	6130.7446	5800.478	1000.0	1000.0	95000	280.25095	102.53218	411.09375	-75.17203	280.25162	102.52962	410.1829	-71.548325	-282.6631	31.828756	988.3964982032776
20	5636.6045	310.4406	5947.1445	5079.4634	4770.158	1543.5242	5700.6763	417.272	1000.0	1000.0	100000	295.26767	106.27784	425.82486	-72.35392	295.26895	106.27515	426.29175	-77.976425	-297.81094	33.480545	1087.4500532150269
21	4630.925	1596.8278	5478.8384	1438.8754	6466.9507	99.9316	6633.4043	6290.6753	1000.0	1000.0	105000	309.8058	110.26708	448.84015	-85.60283	309.80734	110.265015	451.07315	-105.19852	-312.51566	37.535492	1196.066022157669
22	5824.327	350.07782	6118.5923	5139.6636	6814.1826	68.07611	6946.315	6729.8853	1000.0	1000.0	110000	321.7449	116.9866	459.42587	-107.14039	321.74545	116.98251	460.57037	-124.843056	-324.65204	41.454067	1294.130874156952
23	6057.1885	137.53314	6237.4487	5904.8525	5789.2866	1938.7731	6652.9814	-15.321437	1000.0	1000.0	115000	335.98373	120.42979	473.2557	-116.574356	335.9856	120.42442	471.36243	-110.8416	-338.6588	40.87773	1376.088433265686
24	6048.2725	147.5553	6274.299	5848.748	6641.8228	81.99257	6728.8794	6465.293	1000.0	1000.0	120000	349.52786	123.11385	483.07825	-126.7272	349.52902	123.10962	485.60452	-131.39711	-352.56473	40.4717	1456.353651046753
25	6079.35	257.4616	6536.3813	5779.053	5605.95	467.24213	6182.294	4741.9067	1000.0	1000.0	125000	362.6095	125.31672	497.73434	-124.90208	362.6118	125.31144	496.89337	-123.60463	-365.4553	40.267487	1541.3125331401825
26	6095.3896	324.71664	6543.078	5576.546	6363.536	79.07961	6451.486	6212.1714	1000.0	1000.0	130000	374.97455	126.66989	506.76147	-115.56149	374.9756	126.66628	505.38275	-118.96814	-377.985	40.66008	1637.7840881347656
27	6215.16	264.24426	6517.852	5813.404	6754.9287	78.21808	6875.8364	6636.0864	1000.0	1000.0	135000	386.9851	126.95024	515.3366	-127.00728	386.98627	126.94682	513.6581	-121.531715	-390.3226	40.695526	1734.3693692684174
28	6239.622	80.96185	6351.481	6103.0664	5317.144	1759.4786	6248.9287	71.066895	1000.0	1000.0	140000	398.92422	126.760826	523.6255	-122.04306	398.92526	126.7572	523.8737	-128.1468	-401.8777	39.315907	1821.3834102153778
29	6111.04	151.67845	6337.7583	5933.555	7082.169	54.342873	7178.1553	6979.451	1000.0	1000.0	145000	409.18884	127.65117	531.6522	-133.59476	409.1896	127.648415	531.50214	-132.26472	-411.91226	39.63841	1914.7788422107697
30	6555.8867	121.03789	6693.8926	6370.282	6875.837	77.31582	7045.874	6761.1714	1000.0	1000.0	150000	419.14005	127.481895	538.04193	-137.07057	419.14072	127.479	542.5787	-185.89021	-422.0968	40.3587	1998.6272141933441
31	6502.554	164.90437	6716.0596	6286.3516	6537.6475	103.30466	6713.4453	6399.8853	1000.0	1000.0	155000	428.15967	128.51277	553.526	-144.7392	428.16092	128.50865	552.48724	-148.83376	-430.9985	40.265114	2082.2862741947174
32	6370.1924	325.51038	6672.391	5755.759	6974.581	58.15731	7085.2363	6899.61	1000.0	1000.0	160000	437.7277	128.26906	561.10803	-167.33408	437.72876	128.2648	561.7377	-135.01178	-440.8347	40.694317	2164.7004799842834
33	6640.8164	172.70047	6834.28	6319.5073	7199.038	146.44987	7427.2954	6974.2637	1000.0	1000.0	165000	446.2593	129.15106	567.3357	-129.77917	446.2605	129.14626	566.73376	-137.01208	-448.98526	41.185444	2248.3282523155212
34	6731.6147	273.62103	6986.382	6200.565	6573.7983	110.62533	6735.127	6325.7456	1000.0	1000.0	170000	454.98352	129.55373	578.7652	-142.77673	454.98413	129.5522	580.40204	-135.72461	-458.04034	42.23919	2333.6217579841614
35	6714.8984	336.96603	7257.6333	6299.561	5933.5195	543.36206	6414.3174	4387.6025	1000.0	1000.0	175000	463.27136	129.8278	585.7471	-122.240685	463.27264	129.82248	585.67096	-130.86938	-466.3134	41.34825	2434.603476047516
36	6743.3813	321.30548	7088.1035	6137.396	7437.4463	92.34665	7622.4263	7309.289	1000.0	1000.0	180000	470.98206	130.60202	593.1505	-134.4841	470.98288	130.5974	595.0487	-141.46115	-473.7733	43.06313	2530.159688234329
37	6835.237	242.43086	7139.465	6487.116	7242.297	121.31446	7404.9404	7036.2637	1000.0	1000.0	185000	478.48965	131.08641	600.5132	-142.66579	478.4903	131.08238	602.16077	-157.29677	-481.3071	44.473133	2624.1728372573853
38	6280.8804	1189.3303	7208.1895	3987.0535	7564.7764	126.65107	7765.4453	7359.6494	1000.0	1000.0	190000	484.64645	133.82991	613.01605	-146.20358	484.64774	133.82538	612.2311	-149.53702	-487.4027	44.36242	2725.351398229599
39	7033.4272	260.89517	7301.0107	6574.994	7329.329	101.94169	7476.6343	7166.6206	1000.0	1000.0	195000	492.09186	134.48465	617.5649	-154.13469	492.09338	134.47818	618.15204	-123.54065	-494.7061	44.802147	2809.330868959427
40	6871.5015	130.02599	6995.3506	6621.705	7568.828	138.41957	7726.028	7299.7446	1000.0	1000.0	200000	498.93805	135.48114	623.8238	-202.24672	498.93893	135.4764	622.66376	-170.35356	-502.0445	45.33487	2891.5873260498047
41	7050.018	245.6662	7310.592	6721.286	7298.496	105.741646	7447.841	7119.0986	1000.0	1000.0	205000	506.30087	134.56726	627.67896	-210.51208	506.30133	134.56311	627.4901	-190.37984	-509.13995	45.119816	2980.3008980751038
42	7026.788	180.66393	7281.1816	6800.1113	7479.447	127.18245	7644.6924	7295.7583	1000.0	1000.0	210000	511.86502	135.7992	631.6485	-180.10693	511.86636	135.79372	632.58057	-182.974	-514.7714	45.999123	3067.914293050766
43	7065.8516	199.02216	7362.3584	6877.295	7639.807	85.51083	7740.957	7480.3213	1000.0	1000.0	215000	518.13916	135.45012	637.37317	-221.52585	518.1397	135.44655	638.0291	-193.614	-520.94	46.48268	3154.985468149185
44	6990.448	241.29788	7184.371	6559.912	7480.5625	70.83247	7603.447	7347.2285	1000.0	1000.0	220000	523.92377	135.10164	644.3853	-178.81479	523.92487	135.09685	643.23676	-197.77658	-526.748	45.911304	3245.2585122585297
45	7211.1157	154.88052	7405.8755	6985.7637	7714.482	108.35843	7854.7124	7474.033	1000.0	1000.0	225000	529.4182	134.92535	646.41315	-236.62389	529.419	134.9215	648.0607	-232.17679	-532.38904	46.974274	3333.3586843013763
46	6999.87	191.06111	7176.556	6653.1587	7743.091	150.6965	7939.776	7500.95	1000.0	1000.0	230000	534.6418	134.9446	651.237	-197.9978	534.6426	134.94048	650.93225	-194.81049	-537.813	45.954487	3434.148339986801
47	7296.0913	242.33838	7603.679	6952.2983	6970.4897	129.70076	7227.9688	6791.8105	1000.0	1000.0	235000	539.8704	134.12048	664.51276	-187.84041	539.8714	134.11655	664.27905	-282.37097	-542.78033	45.210567	3524.6394350528717
48	7207.552	313.14655	7513.2686	6628.1694	7096.9805	133.98907	7389.081	6949.564	1000.0	1000.0	240000	544.89185	133.5059	671.2244	-167.89198	544.8925	133.50128	668.65063	-176.99756	-547.7422	45.830894	3610.6498692035675
49	7175.4985	230.44226	7522.739	6903.329	8313.047	111.659454	8466.927	8109.0825	1000.0	1000.0	245000	549.5321	132.49545	670.2426	-231.01352	549.53314	132.49088	671.48395	-204.17949	-552.0592	45.595177	3709.032117128372
50	7388.151	168.22243	7560.111	7183.971	7505.081	69.47531	7636.73	7379.475	1000.0	1000.0	250000	554.0784	131.98436	676.1929	-167.02982	554.07904	131.97961	675.9783	-217.94754	-556.9319	44.84843	3792.263602256775
51	7476.1445	186.34004	7711.656	7201.9805	8013.746	92.1473	8110.4717	7801.735	1000.0	1000.0	255000	558.47864	131.45291	676.42834	-175.12315	558.4794	131.44922	676.68115	-187.3897	-561.10754	44.47938	3877.176681995392
52	7547.6313	158.63806	7777.885	7357.957	7978.3384	130.85008	8152.2773	7784.6777	1000.0	1000.0	260000	562.51587	130.64728	683.946	-155.18166	562.51636	130.64305	683.3747	-170.39098	-565.2356	43.513626	3972.268133163452
53	7539.589	136.9367	7765.7407	7381.3765	7955.12	173.97797	8146.873	7528.7563	1000.0	1000.0	265000	566.7362	129.65913	684.48065	-202.57614	566.73663	129.6563	686.5441	-190.25603	-569.1941	44.034676	4053.4341440200806
54	7412.083	233.87125	7606.2	7035.3623	7825.6865	247.76761	7993.492	7110.334	1000.0	1000.0	270000	570.50433	129.56209	686.1409	-212.61359	570.5052	129.55856	688.29395	-193.4694	-573.074	44.156796	4136.562880039215
55	7621.8774	138.74542	7795.6655	7383.943	7671.5107	90.07245	7831.302	7564.8804	1000.0	1000.0	275000	575.0012	128.38947	690.02313	-192.23589	575.0013	128.3861	690.74744	-212.16867	-577.431	44.22073	4240.75297832489
56	7702.4424	203.33276	8090.339	7507.6797	7913.1943	92.58092	8040.3394	7705.4824	1000.0	1000.0	280000	578.8065	128.41138	696.9315	-154.86568	578.80707	128.40916	694.9732	-157.71635	-581.4206	43.644936	4340.3890812397
57	7529.2236	243.95267	7751.5034	7067.2036	7292.7295	43.82872	7389.127	7236.3516	1000.0	1000.0	285000	583.0971	127.47592	697.5532	-164.24852	583.09766	127.473145	695.55554	-155.52147	-585.4826	45.288662	4428.551231145859
58	7621.711	259.9273	7870.1255	7159.289	8277.062	79.51323	8394.106	8144.044	1000.0	1000.0	290000	586.9637	127.08221	699.35944	-174.41225	586.9639	127.07903	699.20197	-161.3861	-589.87054	45.313046	4520.456382989883
59	7754.911	58.883545	7860.2793	7680.648	8318.345	103.182236	8500.034	8073.408	1000.0	1000.0	295000	590.0925	127.33487	703.8818	-139.54126	590.0933	127.33111	705.0567	-135.03625	-592.5806	46.179974	4610.975250244141
