Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageEpUncertaintyClipped	StdEpUncertaintyClipped	MaxEpUncertaintyClipped	MinEpUncertaintyClipped	Time
23	4581.555	145.83574	4779.212	4365.604	5023.2393	1859.2212	6292.9355	141.4449	1000.0	1000.0	115000	489.9741	115.424934	609.0758	26.046257	-492.7441	18.197134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1575.2468750476837
24	4719.657	118.61532	4895.169	4532.332	5995.722	451.77988	6487.8643	4823.3154	1000.0	1000.0	120000	504.32996	116.82812	623.47614	16.678165	-506.94214	18.034979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1644.7232439517975
25	4671.624	298.13077	4954.065	4189.6387	4217.491	2113.5085	6343.1514	1014.4924	1000.0	1000.0	125000	517.46356	117.29749	638.193	61.137226	-520.09326	17.249226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1713.8351786136627
26	3709.2148	1386.5869	4899.0693	1156.2302	5988.761	884.65393	6765.29	4351.829	1000.0	1000.0	130000	527.311	120.77535	645.3228	61.08021	-530.1078	18.869003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1783.344898223877
27	4225.339	1692.7977	5215.7827	847.8312	5940.3125	382.79187	6426.7886	5011.509	1000.0	1000.0	135000	537.2671	123.68414	664.34283	43.326134	-539.795	20.098469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1852.4256415367126
28	4888.02	415.896	5379.9673	4159.3096	6437.9634	123.670654	6680.66	6259.7305	1000.0	1000.0	140000	545.55164	127.86261	674.8391	-41.832695	-548.0254	20.94848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1921.8100233078003
29	4941.513	161.6697	5148.2163	4730.1973	5817.3574	1659.8782	6879.922	1399.4819	1000.0	1000.0	145000	555.915	127.78358	681.7248	48.621708	-558.4523	20.544409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1991.489411354065
30	5120.439	140.10876	5305.125	4892.657	6194.409	500.41254	6514.3677	4740.7744	1000.0	1000.0	150000	566.74146	126.73634	690.34344	47.092854	-569.5114	20.685928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2061.049654483795
31	5070.8726	242.39948	5358.941	4698.743	6683.935	373.9018	7004.1724	5591.882	1000.0	1000.0	155000	576.8261	126.41457	701.62244	55.091618	-579.7175	21.848728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2130.5763981342316
32	5313.7085	139.1106	5476.374	5078.8564	7041.3774	164.20126	7248.026	6763.971	1000.0	1000.0	160000	587.47925	125.640366	721.24365	78.56354	-590.2734	21.190975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2199.939787864685
33	4401.2295	1494.3281	5579.738	1465.2103	6175.204	629.9969	6802.4507	4812.5195	1000.0	1000.0	165000	595.1035	129.17314	730.3576	27.31641	-598.1215	22.774355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2269.3421020507812
34	4774.913	731.4611	5252.117	3323.988	5615.5576	1501.551	6663.4893	1220.561	1000.0	1000.0	170000	604.28766	128.82205	741.2513	19.3813	-607.4714	24.069962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2338.6663706302643
35	5243.126	208.40181	5532.0913	4929.293	7225.6885	185.71237	7421.2935	6794.8955	1000.0	1000.0	175000	614.4947	124.93813	748.07294	51.07093	-617.5933	24.359562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2408.75683259964
36	5281.956	377.22012	5856.268	4858.1763	5844.6904	1687.4463	7551.795	3240.5369	1000.0	1000.0	180000	624.97504	121.182915	758.2415	95.45211	-627.9245	24.590942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2478.144984960556
37	5388.9907	209.54462	5623.0693	5048.0117	7273.8423	119.712524	7547.573	7102.323	1000.0	1000.0	185000	634.3799	118.715126	774.3062	111.04952	-637.6436	25.376581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2547.7933716773987
38	5304.2725	321.39276	5563.6567	4705.186	7133.388	200.31987	7455.9795	6621.1216	1000.0	1000.0	190000	644.07935	116.11162	783.0719	139.56796	-647.2098	24.051188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2617.1063187122345
39	5532.372	198.89583	5804.0527	5206.912	6740.798	1186.5497	7330.524	3277.7222	1000.0	1000.0	195000	652.9891	113.17007	792.09015	172.25063	-656.408	25.217155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2686.7356708049774
40	5431.29	343.28128	5976.4775	4932.15	7268.4946	939.3121	7880.9844	4727.959	1000.0	1000.0	200000	662.0719	109.447914	799.61096	185.5544	-665.4589	27.26326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2756.0650651454926
41	5063.254	1037.733	5809.9517	3010.7678	7681.013	84.89946	7832.0767	7528.1797	1000.0	1000.0	205000	670.83276	105.86165	807.2186	180.38126	-673.9574	27.034529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2825.6552963256836
42	5614.04	120.04236	5790.0225	5507.3203	7500.514	234.2839	7967.9575	7162.6	1000.0	1000.0	210000	679.1296	103.86873	813.32947	236.30995	-682.14056	25.773153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2895.79425907135
43	5454.3584	274.68057	5828.881	5109.4097	7412.421	607.295	8033.619	6028.2993	1000.0	1000.0	215000	685.68134	105.08754	828.0464	251.2578	-688.72815	26.660297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2965.5366241931915
44	5526.5225	216.56712	5760.829	5207.711	7815.97	153.9337	8048.1235	7529.2344	1000.0	1000.0	220000	692.86	107.435326	829.61804	240.43906	-695.84686	26.309181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3035.1377470493317
45	5559.4136	265.1165	5938.3203	5270.0435	6556.9365	1787.8793	8021.1562	1893.7667	1000.0	1000.0	225000	699.3285	109.606445	834.3515	186.4226	-702.5284	27.1083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3104.919571876526
46	5540.6436	160.31506	5784.4697	5354.0444	7739.1787	105.91457	7949.204	7599.786	1000.0	1000.0	230000	707.0803	108.3213	846.8046	216.80544	-710.4302	27.183573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3174.78524851799
47	5628.3643	360.4033	5857.2764	4912.0234	7816.532	96.796745	7977.06	7669.402	1000.0	1000.0	235000	714.8461	105.31916	851.96826	264.62332	-718.392	26.534084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3244.574251651764
48	5793.204	357.39395	6350.8438	5275.2144	7704.8447	111.09132	7968.5703	7577.3315	1000.0	1000.0	240000	722.5603	103.159096	855.14026	251.10913	-725.835	26.372318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3314.1419706344604
49	5835.409	178.18097	6071.3984	5612.4614	8032.6016	146.48389	8231.83	7759.955	1000.0	1000.0	245000	729.80255	100.5962	862.0117	280.13574	-733.3983	26.059063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3384.0207636356354
50	5911.0654	102.63201	6091.012	5817.613	7684.7915	384.22528	8182.5303	6920.6895	1000.0	1000.0	250000	736.56226	98.06734	867.5562	307.1192	-739.7998	26.311947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3453.763991832733
51	5801.882	210.12231	6060.866	5558.4653	8285.85	102.84294	8438.816	8056.839	1000.0	1000.0	255000	742.3482	96.59744	873.22046	317.193	-745.3146	26.224112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3524.111383676529
52	5762.319	236.14513	5947.536	5303.0083	8193.928	112.4596	8393.236	8026.9355	1000.0	1000.0	260000	747.57465	96.00498	876.37604	285.99365	-750.751	25.651466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3594.6971287727356
53	5892.7144	114.29387	6047.7715	5699.823	6936.1343	115.987816	7170.975	6738.7456	1000.0	1000.0	265000	752.73773	95.0854	881.71375	325.22757	-755.9993	25.58825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3664.7513811588287
54	5965.3154	235.5602	6233.7324	5632.351	8314.718	118.49584	8505.466	8123.441	1000.0	1000.0	270000	758.0793	95.003456	887.55566	341.11993	-761.5313	25.886747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3735.268019914627
55	6064.7437	410.77383	6400.459	5294.6484	7565.4287	1692.0638	8403.549	2503.9333	1000.0	1000.0	275000	763.4045	93.41311	889.2581	322.66165	-766.55554	26.378754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3805.135006904602
56	6100.9053	142.45421	6300.611	5933.104	8088.9478	80.56523	8262.228	7973.978	1000.0	1000.0	280000	768.4198	92.1469	900.7104	307.99606	-771.7932	26.586569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3875.8977093696594
57	5951.7817	101.00147	6062.47	5762.6333	5877.061	2891.763	8479.552	632.17847	1000.0	1000.0	285000	773.7818	89.40013	904.0587	364.16705	-776.9116	26.294321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3946.102876186371
58	5827.6196	203.22197	6094.0913	5502.413	7724.3955	1073.5795	8361.517	4573.8564	1000.0	1000.0	290000	777.88245	88.738525	907.56964	365.41156	-781.1939	25.90127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4016.0906541347504
59	5937.1196	146.3168	6087.7783	5687.1733	8332.66	437.21652	8649.023	7076.515	1000.0	1000.0	295000	781.4259	88.789566	910.4544	339.69238	-784.6329	26.11166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4086.534207344055
60	6001.539	196.1656	6301.9204	5748.169	8334.138	112.37933	8519.374	8136.272	1000.0	1000.0	300000	784.8515	88.819534	915.92126	382.92197	-788.0384	26.154434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4156.892414569855
61	6125.3003	92.42782	6210.331	5954.931	7536.0576	2532.238	8704.219	113.44424	1000.0	1000.0	305000	788.3263	88.138824	918.8683	376.14206	-791.5019	26.126917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4227.335254907608
62	6143.7266	165.39732	6329.635	5877.802	8574.685	139.8961	8841.544	8328.301	1000.0	1000.0	310000	792.2989	87.738304	924.0027	386.53543	-795.8112	26.64433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4298.085590362549
63	6124.748	294.49182	6444.4146	5755.3774	8459.288	151.41382	8728.426	8261.017	1000.0	1000.0	315000	797.03375	86.1515	932.74915	400.1892	-800.5476	26.283031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4368.192005634308
64	5868.4097	318.33188	6383.0767	5480.2197	8295.627	119.69665	8460.213	8105.156	1000.0	1000.0	320000	801.1206	84.99796	937.0915	402.2286	-804.67816	26.216944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4438.506889820099
65	6065.3315	119.68264	6262.962	5910.109	8364.174	122.89047	8599.794	8167.3306	1000.0	1000.0	325000	804.7389	85.52827	941.30865	402.3556	-807.9481	26.639307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4508.770172119141
66	6100.501	232.85637	6368.4194	5752.078	8684.189	151.6953	8842.813	8299.441	1000.0	1000.0	330000	808.53455	85.76578	944.7095	408.17938	-811.8984	27.046757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4578.796262025833
67	6239.491	293.6499	6628.7925	5847.148	7998.725	276.1651	8379.089	7524.831	1000.0	1000.0	335000	812.45465	85.32808	945.3146	406.03232	-815.8414	26.898857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4649.069340467453
68	5779.909	449.94238	6343.4067	5080.8784	8486.033	201.36922	8762.696	8120.652	1000.0	1000.0	340000	816.0838	85.21453	951.3834	419.9837	-819.5637	26.56405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4718.959954738617
69	6055.0845	203.02869	6259.483	5679.495	7828.1577	951.0706	8365.155	5008.284	1000.0	1000.0	345000	819.16254	84.47364	955.0834	427.5358	-822.4976	26.630621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4789.280996799469
70	6036.5967	307.93076	6355.432	5645.991	8653.219	102.211586	8834.52	8473.898	1000.0	1000.0	350000	822.0619	83.998695	952.70795	428.10303	-825.37445	26.719248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4860.164959669113
71	6109.1616	148.8051	6315.8477	5887.9795	8216.232	549.5976	8566.081	6622.978	1000.0	1000.0	355000	824.7009	83.221634	957.92346	419.81573	-827.9249	26.591406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4930.720638990402
72	6062.9033	177.42737	6273.862	5808.9434	7262.2344	2228.412	8598.122	2247.9915	1000.0	1000.0	360000	827.1819	82.15927	956.8143	406.09167	-830.8157	26.924522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000.979061603546
73	6127.382	217.72748	6488.029	5846.4375	8469.864	126.232834	8675.887	8241.102	1000.0	1000.0	365000	830.18646	80.61998	960.76166	441.03406	-833.5212	26.62226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5071.666119813919
74	6219.707	245.60202	6518.2505	5858.9707	8255.082	714.7824	8743.541	6405.7915	1000.0	1000.0	370000	832.4847	80.17075	963.5117	432.2325	-835.6981	26.529425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5142.778927087784
75	6061.408	126.34062	6242.1733	5846.7773	8557.161	461.71667	8959.223	7392.217	1000.0	1000.0	375000	834.60895	79.675865	964.4807	462.99463	-837.8662	27.023157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5213.137927532196
76	6258.133	332.21207	6788.0903	5856.216	8807.016	161.98825	9013.152	8506.103	1000.0	1000.0	380000	836.6665	80.59631	968.67426	458.53894	-839.7958	26.569735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5283.351054191589
77	6169.652	332.18402	6535.773	5659.5835	8205.714	1423.4526	8859.543	3956.896	1000.0	1000.0	385000	839.22723	80.89159	971.30615	451.38354	-842.6392	27.573313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5353.530270576477
78	6265.3384	312.5299	6802.8657	5898.357	8590.85	274.82236	8854.865	7872.265	1000.0	1000.0	390000	842.63904	79.28313	976.8898	449.47906	-846.2818	27.493128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5423.978100538254
79	6447.07	56.802956	6513.4907	6364.8545	8519.868	85.976265	8636.97	8353.957	1000.0	1000.0	395000	845.9077	78.78807	976.4196	465.90164	-849.4653	27.4323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5494.33784365654
80	6265.122	197.63524	6540.448	6031.4478	8532.312	679.4975	8839.711	6503.4634	1000.0	1000.0	400000	848.5251	79.9509	979.2311	429.5047	-851.8334	27.747602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5564.992675304413
81	6197.0156	231.71498	6460.9893	5770.911	8674.411	190.22816	9008.044	8372.033	1000.0	1000.0	405000	850.7534	81.29523	982.0865	465.7895	-854.1618	28.103994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5635.205504894257
82	6151.5547	192.00716	6437.2466	5885.857	8655.894	96.59151	8878.731	8503.321	1000.0	1000.0	410000	853.3268	81.07819	984.7336	455.11725	-856.5928	28.562029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5705.921056509018
83	6369.4795	323.14542	6867.2256	5998.545	8735.137	115.74995	8930.395	8536.589	1000.0	1000.0	415000	856.16736	79.94674	1000.4827	444.4662	-859.6306	28.685595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5776.280178308487
84	5995.1025	336.78458	6433.4487	5390.4897	8544.839	167.41812	8774.207	8241.98	1000.0	1000.0	420000	858.9437	79.686646	1004.682	443.87994	-862.331	28.663124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5846.715933799744
85	6146.8066	412.68365	6643.131	5463.9277	8384.981	138.62611	8560.818	8090.2964	1000.0	1000.0	425000	861.7192	79.86113	1004.5289	425.44818	-865.2096	29.609066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5917.659522771835
86	6279.9897	251.78238	6698.713	5940.2544	8317.225	513.0499	8847.829	6855.8984	1000.0	1000.0	430000	864.8959	80.09726	1008.9362	431.22766	-868.4604	29.855665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5988.173314571381
87	6310.1265	172.20404	6530.8813	6114.1406	8218.334	1026.2164	8702.081	5147.635	1000.0	1000.0	435000	867.7323	80.0184	1007.10675	405.82526	-871.1717	30.260063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6058.935948371887
88	6440.3335	209.1749	6644.8647	6063.5044	7529.572	2139.5117	9030.492	3255.1533	1000.0	1000.0	440000	870.624	78.56712	1009.3244	410.46207	-874.1092	29.10346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6129.893430709839
89	6405.718	277.1779	6859.4077	6021.761	8470.266	766.91205	8989.142	6308.5654	1000.0	1000.0	445000	873.2346	78.49508	1014.13635	431.7171	-876.7182	29.371843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6202.098270177841
90	6462.2524	223.48764	6843.5396	6218.4707	6434.3735	2819.3765	8973.961	1090.3824	1000.0	1000.0	450000	875.4055	78.90704	1015.1786	440.29633	-879.0138	29.828674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6273.222532272339
91	6281.9893	71.24629	6380.0195	6178.869	8834.568	167.33298	9112.672	8575.436	1000.0	1000.0	455000	878.25476	79.21457	1022.10254	431.24567	-881.6868	30.322216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6343.956693172455
92	6249.3135	356.43408	6628.6	5701.2515	8595.545	162.52812	8834.66	8377.706	1000.0	1000.0	460000	880.3525	81.541595	1030.6534	416.22696	-883.8754	30.09163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6415.202768564224
93	6339.462	203.70876	6535.1455	6058.8003	7793.9326	1924.3116	9017.561	2417.725	1000.0	1000.0	465000	882.53973	84.0522	1029.9017	406.59213	-885.874	29.640905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6486.525859594345
94	6326.225	199.21657	6651.075	6066.1655	6439.6416	2209.9382	8762.841	2783.7153	1000.0	1000.0	470000	885.3471	83.60102	1037.3568	391.75977	-888.946	31.043682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6558.173914194107
95	6450.19	96.739876	6608.8726	6333.848	8622.709	230.05457	8922.293	8239.828	1000.0	1000.0	475000	888.07166	82.551056	1034.7955	371.91187	-891.6174	31.222994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6629.561994791031
96	6399.472	147.48875	6642.407	6200.2188	8392.392	1898.2584	9368.184	2749.9717	1000.0	1000.0	480000	891.04474	81.1056	1036.2784	378.52637	-894.5392	31.663631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6700.191350698471
97	6463.7217	134.20494	6603.6064	6207.1777	8945.841	194.70924	9224.113	8663.19	1000.0	1000.0	485000	893.3352	82.319664	1042.2117	386.52246	-896.7843	32.169556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6771.088846445084
98	6378.49	281.06192	6815.634	5975.9805	8979.907	155.65486	9236.189	8799.496	1000.0	1000.0	490000	895.2448	84.223724	1041.3138	371.04773	-898.7172	31.067741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6842.086327314377
99	6355.4673	289.38852	6771.545	5905.1187	8729.844	274.9827	9021.335	8017.2715	1000.0	1000.0	495000	898.26184	85.406296	1046.069	360.97272	-901.9273	32.18997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6913.325616836548
