Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-266.77423	71.75095	-222.1204	-409.3562	-561.7447	0.4097763	-561.11237	-562.3785	1000.0	1000.0	5000	0.9721759	3.5472667	16.7363	-10.426991	-1.2239636	0.27507377	22.805081129074097
2	-283.57535	62.82132	-231.7487	-401.7005	-432.3068	11.602142	-411.585	-444.716	1000.0	1000.0	10000	9.656931	9.011126	45.963284	-10.676665	-10.98701	0.93160605	46.77745723724365
3	-494.94012	95.2574	-387.4899	-622.33374	-438.99884	25.355734	-387.4704	-477.4618	1000.0	1000.0	15000	38.034817	9.169287	61.771515	8.873922	-39.387577	1.0389558	71.8627519607544
4	-565.97473	88.4557	-459.2993	-709.0238	-655.8566	4.871458	-646.9961	-665.58105	1000.0	1000.0	20000	42.52153	6.65549	64.34464	18.356447	-43.120758	1.075568	97.21008110046387
5	-491.294	134.21751	-305.6717	-672.69653	-224.96294	316.01288	136.2728	-791.6756	1000.0	1000.0	25000	36.972027	6.937084	65.27059	16.788391	-37.590855	0.83406883	121.80183410644531
6	737.24963	310.33698	1023.41766	134.16737	60.265343	41.222107	148.61281	4.8641453	1000.0	1000.0	30000	39.100357	10.034704	79.47425	11.429485	-40.185318	1.0657533	147.8148274421692
7	637.0132	292.73624	1028.4313	151.90639	-144.29407	306.2592	578.093	-432.15033	1000.0	1000.0	35000	56.992672	10.338841	93.993034	19.950935	-58.3518	1.3762766	172.56826448440552
8	719.5054	464.00137	1184.875	-64.22843	720.5205	679.02814	1534.0677	-399.73264	1000.0	1000.0	40000	71.21656	11.570177	116.541	41.27067	-72.37906	2.1920567	196.92470169067383
9	278.46515	502.7327	926.93335	-294.42404	804.10144	626.5541	1311.7992	-483.56973	1000.0	1000.0	45000	84.44032	17.937067	140.16058	34.414173	-85.74655	2.859446	222.07224440574646
10	1223.3309	528.7553	1719.2588	232.16965	1549.3436	91.61912	1671.117	1314.4432	1000.0	1000.0	50000	98.78744	26.18112	161.07555	30.06971	-100.2212	3.3866582	248.49252605438232
